cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 4123943322, 0, 7, 0, 0, 0, 0
2, 4123943322, 0, 6, 0, 0, 0, 0
3, 4123943322, 0, 2, 0, 0, 0, 0
4, 0, 3, 4, 0, 0, 3, 0.75
5, 131328, 2, 5, 0, 0, 5, 1
6, 131394, 2, 1, 0, 0, 7, 1.16667
7, 147786, 2, 7, 0, 0, 9, 1.28571
8, 147786, 0, 7, 0, 0, 9, 1.125
9, 147786, 0, 8, 0, 0, 9, 1
10, 147786, 0, 8, 0, 0, 9, 0.9
11, 147786, 0, 6, 0, 0, 9, 0.818182
12, 149850, 2, 2, 0, 0, 11, 0.916667
13, 0, 4, 6, 0, 0, 15, 1.15385
14, 131088, 2, 8, 0, 0, 17, 1.21429
15, 131217, 2, 0, 0, 0, 19, 1.26667
16, 131217, 0, 7, 0, 0, 19, 1.1875
17, 0, 4, 3, 0, 0, 23, 1.35294
18, 132096, 2, 6, 0, 0, 25, 1.38889
19, 132120, 2, 2, 0, 0, 27, 1.42105
20, 136218, 2, 7, 0, 0, 29, 1.45
21, 136218, 0, 1, 0, 0, 29, 1.38095
22, 0, 1, 7, 0, 0, 30, 1.36364
23, 131076, 2, 0, 0, 0, 32, 1.3913
24, 131076, 0, 0, 0, 0, 32, 1.33333
25, 131076, 0, 7, 0, 0, 32, 1.28
26, 131076, 0, 2, 0, 0, 32, 1.23077
27, 135684, 2, 6, 0, 0, 34, 1.25926
28, 168468, 2, 8, 0, 0, 36, 1.28571
29, 0, 4, 2, 0, 0, 40, 1.37931
30, 135168, 2, 6, 0, 0, 42, 1.4
31, 137232, 2, 6, 0, 0, 44, 1.41935
32, 137232, 0, 7, 0, 0, 44, 1.375
33, 137748, 2, 1, 0, 0, 46, 1.39394
34, 0, 1, 2, 0, 0, 47, 1.38235
35, 135168, 2, 0, 0, 0, 49, 1.4
36, 135168, 0, 5, 0, 0, 49, 1.36111
37, 135240, 2, 1, 0, 0, 51, 1.37838
38, 152136, 2, 3, 0, 0, 53, 1.39474
39, 153192, 2, 5, 0, 0, 55, 1.41026
40, 153192, 0, 5, 0, 0, 55, 1.375
41, 153192, 0, 1, 0, 0, 55, 1.34146
42, 153192, 0, 6, 0, 0, 55, 1.30952
43, 153192, 0, 0, 0, 0, 55, 1.27907
44, 153192, 0, 0, 0, 0, 55, 1.25
45, 153192, 0, 0, 0, 0, 55, 1.22222
46, 153192, 0, 6, 0, 0, 55, 1.19565
47, 153192, 0, 8, 0, 0, 55, 1.17021
48, 0, 4, 3, 0, 0, 59, 1.22917
49, 132096, 2, 8, 0, 0, 61, 1.2449
50, 132225, 2, 1, 0, 0, 63, 1.26
51, 148617, 2, 6, 0, 0, 65, 1.27451
52, 149145, 2, 8, 0, 0, 67, 1.28846
53, 149145, 0, 8, 0, 0, 67, 1.26415
54, 149145, 0, 0, 0, 0, 67, 1.24074
55, 149145, 0, 8, 0, 0, 67, 1.21818
56, 149145, 0, 4, 0, 0, 67, 1.19643
57, 149145, 0, 5, 0, 0, 67, 1.17544
58, 149145, 0, 6, 0, 0, 67, 1.15517
59, 149145, 0, 8, 0, 0, 67, 1.13559
60, 149145, 0, 5, 0, 0, 67, 1.11667
61, 149145, 0, 7, 0, 0, 67, 1.09836
62, 149145, 0, 6, 0, 0, 67, 1.08065
63, 149145, 0, 2, 0, 0, 67, 1.06349
64, 0, 3, 3, 0, 0, 70, 1.09375
65, 132096, 2, 6, 0, 0, 72, 1.10769
66, 164880, 2, 6, 0, 0, 74, 1.12121
67, 164880, 0, 6, 0, 0, 74, 1.10448
68, 164880, 0, 4, 0, 0, 74, 1.08824
69, 165138, 2, 7, 0, 0, 76, 1.10145
70, 0, 1, 8, 0, 0, 77, 1.1
71, 131073, 2, 3, 0, 0, 79, 1.11268
72, 132225, 2, 7, 0, 0, 81, 1.125
73, 140421, 2, 3, 0, 0, 83, 1.13699
74, 140421, 0, 1, 0, 0, 83, 1.12162
75, 157317, 2, 4, 0, 0, 85, 1.13333
76, 157317, 0, 3, 0, 0, 85, 1.11842
77, 157317, 0, 3, 0, 0, 85, 1.1039
78, 157317, 0, 4, 0, 0, 85, 1.08974
