cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 1, 1, 1, 0
2, 0, 0, 1, 1, 0.95, 1, 1
3, 0, 0, 1, 1, 0.9025, 1, 0.5
4, 0, 0, 1, 1, 0.857375, 1, 0.333333
5, 0, 0, 0, 1, 0.814506, 1, 0.25
6, 0, 1, 1, 0, 0.773781, 2, 0.4
7, 0, 0, 0, 1, 0.735092, 2, 0.333333
8, 0, 1, 0, 0, 0.698337, 3, 0.428571
9, 0, 0, 1, 1, 0.66342, 3, 0.375
10, 0, 1, 0, 1, 0.630249, 4, 0.444444
11, 0, 0, 1, 0, 0.598737, 4, 0.4
12, 0, 1, 0, 1, 0.5688, 5, 0.454545
13, 0, 0, 1, 0, 0.54036, 5, 0.416667
14, 0, 1, 0, 1, 0.513342, 6, 0.461538
15, 0, 0, 1, 1, 0.487675, 6, 0.428571
16, 0, 1, 1, 0, 0.463291, 7, 0.466667
17, 0, 0, 0, 1, 0.440127, 7, 0.4375
18, 0, 1, 0, 1, 0.41812, 8, 0.470588
19, 0, 0, 0, 1, 0.397214, 8, 0.444444
20, 0, 0, 0, 1, 0.377354, 8, 0.421053
21, 0, 0, 1, 1, 0.358486, 8, 0.4
22, 0, 0, 1, 0, 0.340562, 8, 0.380952
23, 0, 1, 1, 0, 0.323534, 9, 0.409091
24, 0, 0, 1, 1, 0.307357, 9, 0.391304
25, 0, 0, 1, 0, 0.291989, 9, 0.375
26, 0, 0, 1, 0, 0.27739, 9, 0.36
27, 0, 0, 1, 1, 0.26352, 9, 0.346154
28, 0, 0, 0, 1, 0.250344, 9, 0.333333
29, 0, 1, 0, 1, 0.237827, 10, 0.357143
30, 0, 0, 1, 0, 0.225936, 10, 0.344828
31, 0, 1, 0, 0, 0.214639, 11, 0.366667
32, 0, 0, 1, 0, 0.203907, 11, 0.354839
33, 0, 1, 0, 0, 0.193711, 12, 0.375
34, 0, 0, 1, 0, 0.184026, 12, 0.363636
35, 0, 1, 0, 0, 0.174825, 13, 0.382353
36, 0, 0, 1, 0, 0.166083, 13, 0.371429
37, 0, 1, 0, 0, 0.157779, 14, 0.388889
38, 0, 0, 1, 0, 0.14989, 14, 0.378378
39, 0, 1, 0, 0, 0.142396, 15, 0.394737
40, 0, 0, 1, 0, 0.135276, 15, 0.384615
41, 0, 1, 0, 0, 0.128512, 16, 0.4
42, 0, 0, 1, 0, 0.122087, 16, 0.390244
43, 0, 1, 0, 0, 0.115982, 17, 0.404762
44, 0, 0, 1, 0, 0.110183, 17, 0.395349
45, 0, 1, 0, 0, 0.104674, 18, 0.409091
46, 0, 0, 1, 1, 0.0994403, 18, 0.4
47, 0, 1, 0, 0, 0.0944682, 19, 0.413043
48, 0, 0, 1, 0, 0.0897448, 19, 0.404255
49, 0, 1, 0, 0, 0.0852576, 20, 0.416667
50, 0, 0, 1, 0, 0.0809947, 20, 0.408163
51, 0, 1, 0, 0, 0.076945, 21, 0.42
52, 0, 0, 1, 0, 0.0730977, 21, 0.411765
53, 0, 1, 0, 0, 0.0694428, 22, 0.423077
54, 0, 0, 1, 0, 0.0659707, 22, 0.415094
55, 0, 1, 0, 0, 0.0626722, 23, 0.425926
56, 0, 0, 1, 0, 0.0595386, 23, 0.418182
57, 0, 1, 0, 0, 0.0565616, 24, 0.428571
58, 0, 0, 1, 0, 0.0537335, 24, 0.421053
59, 0, 1, 0, 0, 0.0510469, 25, 0.431034
60, 0, 0, 1, 0, 0.0484945, 25, 0.423729
61, 0, 1, 0, 0, 0.0460698, 26, 0.433333
62, 0, 0, 1, 0, 0.0437663, 26, 0.42623
63, 0, 1, 0, 0, 0.041578, 27, 0.435484
64, 0, 0, 1, 0, 0.0394991, 27, 0.428571
65, 0, 1, 0, 0, 0.0375241, 28, 0.4375
66, 0, 0, 1, 0, 0.0356479, 28, 0.430769
67, 0, 1, 0, 0, 0.0338655, 29, 0.439394
68, 0, 0, 1, 0, 0.0321723, 29, 0.432836
69, 0, 1, 0, 0, 0.0305636, 30, 0.441176
70, 0, 0, 1, 0, 0.0290355, 30, 0.434783
71, 0, 1, 0, 0, 0.0275837, 31, 0.442857
72, 0, 0, 1, 0, 0.0262045, 31, 0.43662
73, 0, 1, 0, 0, 0.0248943, 32, 0.444444
74, 0, 0, 1, 0, 0.0236496, 32, 0.438356
75, 0, 1, 0, 0, 0.0224671, 33, 0.445946
76, 0, 0, 1, 0, 0.0213437, 33, 0.44
77, 0, 1, 0, 0, 0.0202765, 34, 0.447368
78, 0, 0, 1, 0, 0.0192627, 34, 0.441558
79, 0, 1, 0, 0, 0.0182996, 35, 0.448718
80, 0, 0, 1, 0, 0.0173846, 35, 0.443038
81, 0, 1, 0, 0, 0.0165154, 36, 0.45
82, 0, 0, 1, 0, 0.0156896, 36, 0.444444
83, 0, 1, 0, 0, 0.0149051, 37, 0.45122
84, 0, 0, 1, 0, 0.0141599, 37, 0.445783
85, 0, 1, 0, 0, 0.0134519, 38, 0.452381
86, 0, 0, 1, 1, 0.0127793, 38, 0.447059
87, 0, 1, 0, 0, 0.0121403, 39, 0.453488
88, 0, 0, 1, 0, 0.0115333, 39, 0.448276
89, 0, 1, 0, 0, 0.0109566, 40, 0.454545
90, 0, 0, 1, 0, 0.0104088, 40, 0.449438
91, 0, 1, 0, 0, 0.00988836, 41, 0.455556
92, 0, 0, 1, 0, 0.00939395, 41, 0.450549
93, 0, 1, 0, 0, 0.00892425, 42, 0.456522
94, 0, 0, 1, 0, 0.00847804, 42, 0.451613
95, 0, 1, 0, 0, 0.00805413, 43, 0.457447
96, 0, 0, 1, 0, 0.00765143, 43, 0.452632
97, 0, 1, 0, 0, 0.00726886, 44, 0.458333
98, 0, 0, 1, 0, 0.00690541, 44, 0.453608
99, 0, 1, 0, 0, 0.00656014, 45, 0.459184
100, 0, 0, 1, 0, 0.00623214, 45, 0.454545
101, 0, 1, 0, 0, 0.00592053, 46, 0.46
102, 0, 0, 1, 0, 0.0056245, 46, 0.455446
103, 0, 1, 0, 0, 0.00534328, 47, 0.460784
104, 0, 0, 1, 0, 0.00507611, 47, 0.456311
105, 0, 1, 0, 0, 0.00482231, 48, 0.461538
106, 0, 0, 0, 1, 0.00458119, 48, 0.457143
107, 0, 0, 1, 0, 0.00435213, 48, 0.45283
108, 0, 0, 1, 0, 0.00413453, 48, 0.448598
109, 0, 1, 0, 0, 0.0039278, 49, 0.453704
110, 0, 0, 1, 0, 0.00373141, 49, 0.449541
111, 0, 1, 0, 0, 0.00354484, 50, 0.454545
112, 0, 0, 1, 0, 0.0033676, 50, 0.45045
113, 0, 1, 0, 0, 0.00319922, 51, 0.455357
114, 0, 0, 1, 0, 0.00303926, 51, 0.451327
115, 0, 1, 0, 0, 0.00288729, 52, 0.45614
116, 0, 0, 1, 0, 0.00274293, 52, 0.452174
