cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.95, 9, 9
3, 5, 9, 1, 1, 0.9025, 18, 9
4, 12, 9, 1, 1, 0.857375, 27, 9
5, 12, 0, 0, 1, 0.814506, 27, 6.75
6, 10, 9, 3, 0, 0.773781, 36, 7.2
7, 10, 0, 0, 1, 0.735092, 36, 6
8, 8, 9, 1, 1, 0.698337, 45, 6.42857
9, 8, 0, 2, 1, 0.66342, 45, 5.625
10, 10, 9, 3, 0, 0.630249, 54, 6
11, 10, 0, 2, 0, 0.598737, 54, 5.4
12, 12, 9, 1, 0, 0.5688, 63, 5.72727
13, 12, 0, 0, 1, 0.54036, 63, 5.25
14, 10, 9, 0, 1, 0.513342, 72, 5.53846
15, 8, 9, 1, 0, 0.487675, 81, 5.78571
16, 8, 0, 2, 0, 0.463291, 81, 5.4
17, 10, 9, 3, 0, 0.440127, 90, 5.625
18, 10, 0, 0, 0, 0.41812, 90, 5.29412
19, 8, 9, 0, 0, 0.397214, 99, 5.5
20, 10, 9, 0, 1, 0.377354, 108, 5.68421
21, 9, 9, 3, 0, 0.358486, 117, 5.85
22, 5, 9, 2, 0, 0.340562, 126, 6
23, 5, 0, 2, 0, 0.323534, 126, 5.72727
24, 5, 0, 1, 1, 0.307357, 126, 5.47826
25, 9, 9, 1, 1, 0.291989, 135, 5.625
26, 9, 0, 0, 0, 0.27739, 135, 5.4
27, 9, 0, 1, 1, 0.26352, 135, 5.19231
28, 9, 0, 2, 0, 0.250344, 135, 5
29, 10, 9, 0, 1, 0.237827, 144, 5.14286
30, 9, 9, 3, 1, 0.225936, 153, 5.27586
31, 5, 9, 2, 0, 0.214639, 162, 5.4
32, 5, 0, 3, 0, 0.203907, 162, 5.22581
33, 7, 9, 2, 1, 0.193711, 171, 5.34375
34, 7, 0, 0, 0, 0.184026, 171, 5.18182
35, 7, 0, 3, 0, 0.174825, 171, 5.02941
36, 7, 0, 2, 0, 0.166083, 171, 4.88571
37, 7, 0, 0, 0, 0.157779, 171, 4.75
38, 7, 0, 0, 0, 0.14989, 171, 4.62162
39, 7, 0, 2, 0, 0.142396, 171, 4.5
40, 7, 0, 1, 0, 0.135276, 171, 4.38462
41, 5, 9, 0, 0, 0.128512, 180, 4.5
42, 5, 0, 2, 0, 0.122087, 180, 4.39024
43, 5, 0, 0, 0, 0.115982, 180, 4.28571
44, 5, 0, 0, 1, 0.110183, 180, 4.18605
45, 5, 0, 0, 0, 0.104674, 180, 4.09091
46, 5, 0, 1, 0, 0.0994403, 180, 4
47, 9, 9, 1, 0, 0.0944682, 189, 4.1087
48, 9, 0, 3, 1, 0.0897448, 189, 4.02128
49, 5, 9, 0, 1, 0.0852576, 198, 4.125
50, 5, 0, 0, 0, 0.0809947, 198, 4.04082
51, 5, 0, 3, 0, 0.076945, 198, 3.96
52, 7, 9, 1, 0, 0.0730977, 207, 4.05882
53, 5, 9, 3, 0, 0.0694428, 216, 4.15385
54, 7, 9, 1, 0, 0.0659707, 225, 4.24528
55, 5, 9, 1, 0, 0.0626722, 234, 4.33333
56, 9, 9, 2, 0, 0.0595386, 243, 4.41818
57, 10, 9, 2, 0, 0.0565616, 252, 4.5
58, 8, 9, 3, 0, 0.0537335, 261, 4.57895
59, 5, 9, 2, 0, 0.0510469, 270, 4.65517
60, 5, 0, 3, 0, 0.0484945, 270, 4.57627
61, 7, 20, 1, 0, 0.0460698, 290, 4.83333
62, 5, 9, 1, 0, 0.0437663, 299, 4.90164
63, 8, 9, 3, 0, 0.041578, 308, 4.96774
64, 5, 9, 3, 0, 0.0394991, 317, 5.03175
65, 7, 20, 0, 0, 0.0375241, 337, 5.26562
66, 7, 0, 1, 0, 0.0356479, 337, 5.18462
67, 5, 9, 0, 0, 0.0338655, 346, 5.24242
68, 5, 0, 0, 0, 0.0321723, 346, 5.16418
69, 5, 0, 2, 0, 0.0305636, 346, 5.08824
70, 5, 0, 0, 0, 0.0290355, 346, 5.01449
71, 5, 0, 2, 0, 0.0275837, 346, 4.94286
72, 5, 0, 0, 0, 0.0262045, 346, 4.87324
73, 5, 0, 1, 0, 0.0248943, 346, 4.80556
74, 8, 9, 0, 0, 0.0236496, 355, 4.86301
75, 10, 9, 1, 0, 0.0224671, 364, 4.91892
76, 10, 0, 2, 0, 0.0213437, 364, 4.85333
77, 8, 9, 1, 0, 0.0202765, 373, 4.90789
78, 8, 0, 3, 0, 0.0192627, 373, 4.84416
79, 5, 9, 1, 0, 0.0182996, 382, 4.89744
80, 8, 9, 2, 0, 0.0173846, 391, 4.94937
81, 10, 9, 3, 0, 0.0165154, 400, 5
82, 10, 0, 3, 0, 0.0156896, 400, 4.93827
83, 10, 0, 2, 0, 0.0149051, 400, 4.87805
84, 12, 9, 2, 0, 0.0141599, 409, 4.92771
85, 12, 0, 0, 0, 0.0134519, 409, 4.86905
86, 10, 9, 1, 0, 0.0127793, 418, 4.91765
87, 10, 0, 1, 0, 0.0121403, 418, 4.86047
88, 10, 0, 3, 0, 0.0115333, 418, 4.8046
89, 10, 0, 3, 0, 0.0109566, 418, 4.75
90, 10, 0, 3, 0, 0.0104088, 418, 4.69663
91, 10, 0, 0, 0, 0.00988836, 418, 4.64444
92, 8, 9, 2, 0, 0.00939395, 427, 4.69231
93, 10, 9, 0, 0, 0.00892425, 436, 4.73913
94, 8, 9, 0, 0, 0.00847804, 445, 4.78495
95, 10, 9, 0, 0, 0.00805413, 454, 4.82979
96, 9, 9, 1, 0, 0.00765143, 463, 4.87368
97, 9, 0, 1, 0, 0.00726886, 463, 4.82292
98, 9, 0, 2, 0, 0.00690541, 463, 4.7732
99, 10, 9, 2, 0, 0.00656014, 472, 4.81633
100, 8, 9, 1, 0, 0.00623214, 481, 4.85859
101, 8, 0, 3, 0, 0.00592053, 481, 4.81
102, 5, 9, 1, 0, 0.0056245, 490, 4.85149
103, 8, 9, 2, 0, 0.00534328, 499, 4.89216
104, 10, 9, 1, 0, 0.00507611, 508, 4.93204
105, 10, 0, 1, 0, 0.00482231, 508, 4.88462
106, 10, 0, 0, 0, 0.00458119, 508, 4.8381
107, 8, 9, 2, 1, 0.00435213, 517, 4.87736
108, 10, 9, 1, 0, 0.00413453, 526, 4.91589
109, 10, 0, 2, 0, 0.0039278, 526, 4.87037
110, 12, 9, 1, 0, 0.00373141, 535, 4.90826
111, 12, 0, 2, 0, 0.00354484, 535, 4.86364
112, 12, 0, 3, 0, 0.0033676, 535, 4.81982
113, 5, 9, 2, 0, 0.00319922, 544, 4.85714
114, 5, 0, 0, 0, 0.00303926, 544, 4.81416
115, 5, 0, 2, 0, 0.00288729, 544, 4.77193
116, 5, 0, 0, 0, 0.00274293, 544, 4.73043
117, 5, 0, 3, 0, 0.00260578, 544, 4.68966
118, 7, 9, 0, 0, 0.00247549, 553, 4.7265
119, 7, 0, 0, 0, 0.00235172, 553, 4.68644
120, 7, 0, 0, 0, 0.00223413, 553, 4.64706
121, 7, 0, 1, 0, 0.00212243, 553, 4.60833
122, 5, 9, 0, 0, 0.00201631, 562, 4.64463
123, 5, 0, 1, 0, 0.00191549, 562, 4.60656
124, 12, 9, 2, 0, 0.00181972, 571, 4.64228
125, 12, 0, 2, 0, 0.00172873, 571, 4.60484
126, 12, 0, 0, 0, 0.00164229, 571, 4.568
127, 10, 9, 1, 0, 0.00156018, 580, 4.60317
128, 10, 0, 1, 0, 0.00148217, 580, 4.56693
129, 10, 0, 3, 0, 0.00140806, 580, 4.53125
130, 10, 0, 2, 0, 0.00133766, 580, 4.49612
131, 12, 9, 1, 0, 0.00127078, 589, 4.53077
132, 12, 0, 0, 0, 0.00120724, 589, 4.49618
133, 10, 9, 0, 0, 0.00114687, 598, 4.5303
134, 8, 9, 1, 0, 0.00108953, 607, 4.56391
135, 8, 0, 2, 0, 0.00103505, 607, 4.52985
136, 10, 9, 2, 0, 0.000983302, 616, 4.56296
137, 12, 9, 3, 0, 0.000934136, 625, 4.59559
138, 5, 9, 3, 0, 0.00088743, 634, 4.62774
139, 7, 9, 0, 0, 0.000843058, 643, 4.65942
140, 7, 0, 0, 0, 0.000800905, 643, 4.6259
141, 7, 0, 1, 0, 0.00076086, 643, 4.59286
142, 5, 9, 1, 0, 0.000722817, 652, 4.62411
143, 12, 9, 0, 0, 0.000686676, 661, 4.65493
144, 10, 9, 2, 0, 0.000652342, 670, 4.68531
145, 12, 9, 0, 0, 0.000619725, 679, 4.71528
146, 10, 9, 0, 0, 0.000588739, 688, 4.74483
147, 8, 9, 3, 0, 0.000559302, 697, 4.77397
148, 5, 9, 3, 0, 0.000531337, 706, 4.80272
149, 7, 20, 0, 0, 0.00050477, 726, 4.90541
150, 7, 0, 2, 0, 0.000479532, 726, 4.87248
151, 7, 0, 2, 0, 0.000455555, 726, 4.84
152, 7, 0, 1, 0, 0.000432777, 726, 4.80795
153, 5, 9, 2, 0, 0.000411138, 735, 4.83553
154, 5, 0, 3, 0, 0.000390581, 735, 4.80392
155, 7, 20, 2, 0, 0.000371052, 755, 4.9026
156, 7, 0, 3, 0, 0.0003525, 755, 4.87097
157, 7, 0, 1, 0, 0.000334875, 755, 4.83974
158, 5, 9, 0, 0, 0.000318131, 764, 4.86624
159, 5, 0, 2, 0, 0.000302224, 764, 4.83544
160, 5, 0, 3, 0, 0.000287113, 764, 4.80503
161, 7, 20, 0, 0, 0.000272758, 784, 4.9
162, 7, 0, 2, 0, 0.00025912, 784, 4.86957
163, 7, 0, 1, 0, 0.000246164, 784, 4.83951
164, 5, 9, 1, 0, 0.000233856, 793, 4.86503
165, 8, 9, 2, 0, 0.000222163, 802, 4.89024
166, 10, 9, 0, 0, 0.000211055, 811, 4.91515
167, 8, 9, 2, 0, 0.000200502, 820, 4.93976
168, 10, 9, 1, 0, 0.000190477, 829, 4.96407
169, 10, 0, 1, 0, 0.000180953, 829, 4.93452
170, 10, 0, 3, 0, 0.000171905, 829, 4.90533
171, 10, 0, 3, 0, 0.00016331, 829, 4.87647
172, 10, 0, 2, 0, 0.000155145, 829, 4.84795
173, 12, 9, 0, 0, 0.000147387, 838, 4.87209
174, 10, 9, 1, 0, 0.000140018, 847, 4.89595
175, 10, 0, 0, 0, 0.000133017, 847, 4.86782
176, 8, 9, 0, 0, 0.000126366, 856, 4.89143
177, 10, 9, 1, 0, 0.000120048, 865, 4.91477
178, 10, 0, 1, 0, 0.000114045, 865, 4.88701
179, 10, 0, 0, 0, 0.000108343, 865, 4.85955
180, 9, 9, 0, 0, 0.000102926, 874, 4.88268
181, 9, 0, 1, 0, 9.77798e-05, 874, 4.85556
182, 9, 0, 2, 0, 9.28908e-05, 874, 4.82873
183, 10, 9, 1, 0, 8.82462e-05, 883, 4.85165
184, 10, 0, 2, 0, 8.38339e-05, 883, 4.82514
185, 8, 9, 3, 0, 7.96422e-05, 892, 4.84783
186, 5, 9, 1, 0, 7.56601e-05, 901, 4.87027
187, 8, 9, 0, 0, 7.18771e-05, 910, 4.89247
188, 10, 9, 2, 0, 6.82833e-05, 919, 4.91444
189, 8, 9, 0, 0, 6.48691e-05, 928, 4.93617
190, 10, 9, 3, 0, 6.16256e-05, 937, 4.95767
191, 10, 0, 0, 0, 5.85444e-05, 937, 4.93158
192, 9, 9, 0, 0, 5.56171e-05, 946, 4.95288
193, 9, 0, 2, 0, 5.28363e-05, 946, 4.92708
194, 10, 9, 2, 0, 5.01945e-05, 955, 4.94819
195, 8, 9, 0, 0, 4.76847e-05, 964, 4.96907
196, 10, 9, 0, 0, 4.53005e-05, 973, 4.98974
197, 9, 9, 2, 0, 4.30355e-05, 982, 5.0102
198, 10, 9, 3, 0, 4.08837e-05, 991, 5.03046
199, 10, 0, 1, 0, 3.88395e-05, 991, 5.00505
200, 10, 0, 2, 0, 3.68975e-05, 991, 4.9799
201, 8, 9, 0, 0, 3.50527e-05, 1000, 5
202, 10, 9, 0, 0, 3.33e-05, 1009, 5.0199
203, 9, 9, 3, 0, 3.1635e-05, 1018, 5.0396
204, 5, 9, 0, 0, 3.00533e-05, 1027, 5.05911
205, 5, 0, 3, 0, 2.85506e-05, 1027, 5.03431
206, 7, 9, 3, 0, 2.71231e-05, 1036, 5.05366
207, 7, 0, 2, 0, 2.57669e-05, 1036, 5.02913
208, 7, 0, 3, 0, 2.44786e-05, 1036, 5.00483
209, 7, 0, 3, 0, 2.32547e-05, 1036, 4.98077
210, 7, 0, 1, 0, 2.20919e-05, 1036, 4.95694
211, 5, 9, 3, 0, 2.09873e-05, 1045, 4.97619
212, 7, 9, 0, 0, 1.9938e-05, 1054, 4.99526
213, 7, 0, 3, 0, 1.89411e-05, 1054, 4.9717
214, 7, 0, 2, 0, 1.7994e-05, 1054, 4.94836
215, 7, 0, 3, 0, 1.70943e-05, 1054, 4.92523
216, 7, 0, 1, 0, 1.62396e-05, 1054, 4.90233
217, 5, 9, 3, 0, 1.54276e-05, 1063, 4.9213
218, 7, 9, 0, 0, 1.46562e-05, 1072, 4.94009
219, 7, 0, 3, 0, 1.39234e-05, 1072, 4.91743
220, 7, 0, 2, 0, 1.32272e-05, 1072, 4.89498
221, 7, 0, 2, 0, 1.25659e-05, 1072, 4.87273
222, 7, 0, 1, 0, 1.19376e-05, 1072, 4.85068
223, 5, 9, 1, 0, 1.13407e-05, 1081, 4.86937
224, 9, 9, 1, 0, 1.07737e-05, 1090, 4.88789
225, 9, 0, 1, 0, 1.0235e-05, 1090, 4.86607
226, 9, 0, 2, 0, 9.72324e-06, 1090, 4.84444
227, 10, 9, 2, 0, 9.23708e-06, 1099, 4.86283
228, 8, 9, 2, 0, 8.77523e-06, 1108, 4.88106
229, 10, 9, 0, 0, 8.33647e-06, 1117, 4.89912
230, 8, 9, 3, 0, 7.91964e-06, 1126, 4.91703
231, 5, 9, 1, 0, 7.52366e-06, 1135, 4.93478
232, 8, 9, 2, 0, 7.14748e-06, 1144, 4.95238
233, 10, 9, 0, 0, 6.7901e-06, 1153, 4.96983
234, 8, 9, 3, 0, 6.4506e-06, 1162, 4.98712
235, 5, 9, 3, 0, 6.12807e-06, 1171, 5.00427
236, 7, 20, 2, 0, 5.82167e-06, 1191, 5.06809
237, 7, 0, 1, 0, 5.53058e-06, 1191, 5.04661
238, 5, 9, 0, 0, 5.25405e-06, 1200, 5.06329
239, 5, 0, 3, 0, 4.99135e-06, 1200, 5.04202
240, 7, 20, 3, 0, 4.74178e-06, 1220, 5.1046
241, 7, 0, 1, 0, 4.50469e-06, 1220, 5.08333
242, 5, 9, 0, 0, 4.27946e-06, 1229, 5.09959
243, 5, 0, 3, 0, 4.06549e-06, 1229, 5.07851
244, 7, 20, 3, 0, 3.86221e-06, 1249, 5.13992
245, 7, 0, 1, 0, 3.6691e-06, 1249, 5.11885
246, 5, 9, 1, 0, 3.48565e-06, 1258, 5.13469
247, 8, 9, 1, 0, 3.31136e-06, 1267, 5.15041
248, 8, 0, 0, 0, 3.1458e-06, 1267, 5.12955
249, 10, 9, 0, 0, 2.98851e-06, 1276, 5.14516
