cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 3265527808, 0, 7, 1, 1, 0, 0
2, 3265658884, 2, 7, 1, 0.95, 2, 2
3, 3265658884, 0, 1, 1, 0.9025, 2, 1
4, 3265658884, 0, 7, 1, 0.857375, 2, 0.666667
5, 3265658884, 0, 2, 1, 0.814506, 2, 0.5
6, 3265663492, 2, 2, 1, 0.773781, 4, 0.8
7, 3265663492, 0, 7, 1, 0.735092, 4, 0.666667
8, 3265663492, 0, 7, 0, 0.698337, 4, 0.571429
9, 3265663492, 0, 6, 1, 0.66342, 4, 0.5
10, 3265663636, 2, 3, 0, 0.630249, 6, 0.666667
11, 0, 1, 5, 0, 0.598737, 7, 0.7
12, 131136, 2, 5, 0, 0.5688, 9, 0.818182
13, 131136, 0, 8, 1, 0.54036, 9, 0.75
14, 139329, 2, 1, 0, 0.513342, 11, 0.846154
15, 155745, 2, 2, 1, 0.487675, 13, 0.928571
16, 155745, 0, 2, 1, 0.463291, 13, 0.866667
17, 155745, 0, 2, 0, 0.440127, 13, 0.8125
18, 155745, 0, 1, 1, 0.41812, 13, 0.764706
19, 155745, 0, 4, 0, 0.397214, 13, 0.722222
20, 156009, 2, 2, 0, 0.377354, 15, 0.789474
21, 156009, 0, 6, 0, 0.358486, 15, 0.75
22, 156009, 0, 3, 0, 0.340562, 15, 0.714286
23, 0, 4, 1, 0, 0.323534, 19, 0.863636
24, 147456, 2, 7, 1, 0.307357, 21, 0.913043
25, 149508, 2, 4, 1, 0.291989, 23, 0.958333
26, 0, 4, 7, 0, 0.27739, 27, 1.08
27, 131076, 2, 3, 1, 0.26352, 29, 1.11538
28, 140292, 2, 4, 0, 0.250344, 31, 1.14815
29, 0, 1, 5, 0, 0.237827, 32, 1.14286
30, 131136, 2, 3, 0, 0.225936, 34, 1.17241
31, 132162, 2, 2, 0, 0.214639, 36, 1.2
32, 136290, 2, 8, 1, 0.203907, 38, 1.22581
33, 136290, 0, 0, 0, 0.193711, 38, 1.1875
34, 136290, 0, 7, 1, 0.184026, 38, 1.15152
35, 169062, 2, 4, 1, 0.174825, 40, 1.17647
36, 0, 4, 5, 0, 0.166083, 44, 1.25714
37, 131136, 2, 8, 0, 0.157779, 46, 1.27778
38, 131649, 2, 8, 0, 0.14989, 48, 1.2973
39, 131649, 0, 8, 0, 0.142396, 48, 1.26316
40, 131649, 0, 5, 0, 0.135276, 48, 1.23077
41, 131649, 0, 7, 0, 0.128512, 48, 1.2
42, 133701, 2, 2, 0, 0.122087, 50, 1.21951
43, 0, 4, 3, 0, 0.115982, 54, 1.28571
44, 132096, 2, 0, 0, 0.110183, 56, 1.30233
45, 132096, 0, 3, 0, 0.104674, 56, 1.27273
46, 132096, 0, 8, 0, 0.0994403, 56, 1.24444
47, 132225, 2, 3, 1, 0.0944682, 58, 1.26087
48, 132225, 0, 0, 0, 0.0897448, 58, 1.23404
49, 132225, 0, 0, 0, 0.0852576, 58, 1.20833
50, 132225, 0, 1, 0, 0.0809947, 58, 1.18367
51, 149121, 2, 7, 1, 0.076945, 60, 1.2
52, 149157, 2, 2, 0, 0.0730977, 62, 1.21569
53, 0, 3, 2, 0, 0.0694428, 65, 1.25
54, 135168, 2, 6, 0, 0.0659707, 67, 1.26415
