cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 877304293, 0, 7, 1, 1, 0, 0
2, 877304293, 0, 7, 1, 0.95, 0, 0
3, 877304293, 0, 1, 1, 0.9025, 0, 0
4, 877304293, 0, 7, 1, 0.857375, 0, 0
5, 877304293, 0, 2, 1, 0.814506, 0, 0
6, 0, 3, 7, 0, 0.773781, 3, 0.6
7, 131076, 2, 7, 1, 0.735092, 5, 0.833333
8, 131076, 0, 7, 0, 0.698337, 5, 0.714286
9, 131076, 0, 8, 1, 0.66342, 5, 0.625
10, 139269, 2, 8, 1, 0.630249, 7, 0.777778
11, 139269, 0, 1, 0, 0.598737, 7, 0.7
12, 155781, 2, 5, 1, 0.5688, 9, 0.818182
13, 155781, 0, 6, 0, 0.54036, 9, 0.75
14, 0, 4, 7, 1, 0.513342, 13, 1
15, 131076, 2, 7, 0, 0.487675, 15, 1.07143
16, 131076, 0, 3, 0, 0.463291, 15, 1
17, 132132, 2, 8, 1, 0.440127, 17, 1.0625
18, 132261, 2, 5, 0, 0.41812, 19, 1.11765
19, 132261, 0, 8, 1, 0.397214, 19, 1.05556
20, 132261, 0, 5, 0, 0.377354, 19, 1
21, 132261, 0, 1, 1, 0.358486, 19, 0.95
22, 149157, 2, 8, 0, 0.340562, 21, 1
23, 149157, 0, 4, 0, 0.323534, 21, 0.954545
24, 149157, 0, 3, 0, 0.307357, 21, 0.913043
25, 149157, 0, 5, 1, 0.291989, 21, 0.875
26, 149157, 0, 3, 0, 0.27739, 21, 0.84
27, 149157, 0, 3, 0, 0.26352, 21, 0.807692
28, 149157, 0, 7, 0, 0.250344, 21, 0.777778
29, 149157, 0, 5, 0, 0.237827, 21, 0.75
30, 149157, 0, 4, 0, 0.225936, 21, 0.724138
31, 149157, 0, 7, 0, 0.214639, 21, 0.7
32, 149157, 0, 4, 1, 0.203907, 21, 0.677419
33, 149157, 0, 2, 0, 0.193711, 21, 0.65625
34, 0, 3, 2, 0, 0.184026, 24, 0.727273
35, 135168, 2, 4, 1, 0.174825, 26, 0.764706
36, 168192, 2, 7, 0, 0.166083, 28, 0.8
37, 168228, 2, 1, 0, 0.157779, 30, 0.833333
38, 168228, 0, 1, 0, 0.14989, 30, 0.810811
39, 168228, 0, 0, 0, 0.142396, 30, 0.789474
40, 168228, 0, 0, 0, 0.135276, 30, 0.769231
41, 168228, 0, 6, 0, 0.128512, 30, 0.75
42, 168228, 0, 8, 0, 0.122087, 30, 0.731707
43, 0, 1, 6, 0, 0.115982, 31, 0.738095
44, 131088, 2, 2, 0, 0.110183, 33, 0.767442
45, 135312, 2, 4, 0, 0.104674, 35, 0.795455
46, 0, 4, 0, 0, 0.0994403, 39, 0.866667
47, 66048, 2, 7, 0, 0.0944682, 41, 0.891304
48, 66180, 2, 5, 0, 0.0897448, 43, 0.914894
49, 66180, 0, 6, 0, 0.0852576, 43, 0.895833
50, 0, 1, 6, 0, 0.0809947, 44, 0.897959
51, 131088, 2, 4, 0, 0.076945, 46, 0.92
52, 164112, 2, 3, 0, 0.0730977, 48, 0.941176
53, 0, 1, 5, 0, 0.0694428, 49, 0.942308
54, 131136, 2, 5, 1, 0.0659707, 51, 0.962264
55, 131136, 0, 7, 0, 0.0626722, 51, 0.944444
56, 133188, 2, 2, 0, 0.0595386, 53, 0.963636
57, 170052, 2, 2, 0, 0.0565616, 55, 0.982143
58, 170052, 0, 6, 0, 0.0537335, 55, 0.964912
59, 170070, 2, 5, 0, 0.0510469, 57, 0.982759
60, 170070, 0, 5, 0, 0.0484945, 57, 0.966102
61, 170070, 0, 7, 0, 0.0460698, 57, 0.95
62, 170070, 0, 2, 0, 0.0437663, 57, 0.934426
63, 170070, 0, 3, 0, 0.041578, 57, 0.919355
64, 170070, 0, 6, 0, 0.0394991, 57, 0.904762
65, 170070, 0, 3, 0, 0.0375241, 57, 0.890625
66, 170070, 0, 7, 0, 0.0356479, 57, 0.876923
67, 170070, 0, 6, 0, 0.0338655, 57, 0.863636
68, 170070, 0, 6, 0, 0.0321723, 57, 0.850746
69, 170070, 0, 4, 0, 0.0305636, 57, 0.838235
70, 0, 4, 4, 0, 0.0290355, 61, 0.884058
71, 131328, 2, 7, 0, 0.0275837, 63, 0.9
72, 131364, 2, 1, 0, 0.0262045, 65, 0.915493
73, 0, 4, 7, 0, 0.0248943, 69, 0.958333
74, 131076, 2, 4, 0, 0.0236496, 71, 0.972603
75, 164100, 2, 2, 0, 0.0224671, 73, 0.986486
76, 168198, 2, 3, 0, 0.0213437, 75, 1
77, 169350, 2, 2, 0, 0.0202765, 77, 1.01316
78, 169350, 0, 2, 0, 0.0192627, 77, 1
79, 169350, 0, 1, 0, 0.0182996, 77, 0.987179
80, 169350, 0, 1, 0, 0.0173846, 77, 0.974684
81, 169350, 0, 1, 0, 0.0165154, 77, 0.9625
82, 169350, 0, 1, 0, 0.0156896, 77, 0.950617
83, 169350, 0, 7, 0, 0.0149051, 77, 0.939024
84, 169350, 0, 1, 0, 0.0141599, 77, 0.927711
85, 169350, 0, 0, 0, 0.0134519, 77, 0.916667
86, 169350, 0, 0, 0, 0.0127793, 77, 0.905882
87, 169350, 0, 2, 0, 0.0121403, 77, 0.895349
88, 169350, 0, 4, 0, 0.0115333, 77, 0.885057
89, 169350, 0, 6, 0, 0.0109566, 77, 0.875
90, 0, 4, 2, 0, 0.0104088, 81, 0.910112
91, 135168, 2, 6, 0, 0.00988836, 83, 0.922222
92, 135192, 2, 3, 0, 0.00939395, 85, 0.934066
93, 168984, 2, 6, 0, 0.00892425, 87, 0.945652
94, 168984, 0, 5, 0, 0.00847804, 87, 0.935484
95, 0, 1, 2, 0, 0.00805413, 88, 0.93617
96, 135168, 2, 3, 0, 0.00765143, 90, 0.947368
97, 136704, 2, 5, 0, 0.00726886, 92, 0.958333
98, 136800, 2, 0, 0, 0.00690541, 94, 0.969072
99, 136800, 0, 7, 0, 0.00656014, 94, 0.959184
100, 0, 1, 5, 0, 0.00623214, 95, 0.959596
101, 131136, 2, 3, 0, 0.00592053, 97, 0.97
102, 164928, 2, 1, 0, 0.0056245, 99, 0.980198
103, 164928, 0, 4, 0, 0.00534328, 99, 0.970588
104, 0, 4, 7, 0, 0.00507611, 103, 1
105, 131076, 2, 3, 0, 0.00482231, 105, 1.00962
106, 140292, 2, 3, 0, 0.00458119, 107, 1.01905
