cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 1, 0, 0.868126, 36, 5.14286
9, 10, 0, 3, 0, 0.850763, 36, 4.5
10, 10, 0, 3, 0, 0.833748, 36, 4
11, 10, 0, 2, 1, 0.817073, 36, 3.6
12, 12, 9, 2, 1, 0.800731, 45, 4.09091
13, 12, 0, 2, 1, 0.784717, 45, 3.75
14, 12, 0, 2, 1, 0.769022, 45, 3.46154
15, 12, 0, 2, 1, 0.753642, 45, 3.21429
16, 12, 0, 0, 1, 0.738569, 45, 3
17, 10, 9, 0, 1, 0.723798, 54, 3.375
18, 8, 9, 2, 0, 0.709322, 63, 3.70588
19, 10, 9, 1, 1, 0.695135, 72, 4
20, 10, 0, 3, 0, 0.681233, 72, 3.78947
21, 10, 0, 0, 0, 0.667608, 72, 3.6
22, 8, 9, 1, 0, 0.654256, 81, 3.85714
23, 8, 0, 0, 1, 0.641171, 81, 3.68182
24, 10, 9, 1, 1, 0.628347, 90, 3.91304
25, 10, 0, 1, 1, 0.61578, 90, 3.75
26, 10, 0, 3, 1, 0.603465, 90, 3.6
27, 10, 0, 2, 0, 0.591395, 90, 3.46154
28, 8, 9, 0, 1, 0.579568, 99, 3.66667
29, 10, 9, 1, 1, 0.567976, 108, 3.85714
30, 10, 0, 2, 0, 0.556617, 108, 3.72414
31, 8, 9, 0, 0, 0.545484, 117, 3.9
32, 10, 9, 0, 0, 0.534575, 126, 4.06452
33, 9, 9, 3, 1, 0.523883, 135, 4.21875
34, 5, 9, 2, 0, 0.513405, 144, 4.36364
35, 5, 0, 1, 1, 0.503137, 144, 4.23529
36, 9, 9, 1, 0, 0.493075, 153, 4.37143
37, 9, 0, 1, 1, 0.483213, 153, 4.25
38, 9, 0, 3, 1, 0.473549, 153, 4.13514
39, 5, 9, 0, 1, 0.464078, 162, 4.26316
40, 5, 0, 0, 0, 0.454796, 162, 4.15385
41, 5, 0, 3, 0, 0.4457, 162, 4.05
42, 7, 9, 0, 0, 0.436786, 171, 4.17073
43, 7, 0, 3, 0, 0.428051, 171, 4.07143
44, 7, 0, 0, 1, 0.41949, 171, 3.97674
45, 7, 0, 0, 0, 0.4111, 171, 3.88636
46, 7, 0, 2, 1, 0.402878, 171, 3.8
47, 7, 0, 2, 0, 0.39482, 171, 3.71739
48, 7, 0, 0, 1, 0.386924, 171, 3.6383
49, 7, 0, 3, 0, 0.379185, 171, 3.5625
50, 7, 0, 3, 0, 0.371602, 171, 3.4898
51, 7, 0, 2, 0, 0.36417, 171, 3.42
52, 7, 0, 3, 0, 0.356886, 171, 3.35294
53, 7, 0, 1, 0, 0.349749, 171, 3.28846
54, 5, 9, 2, 0, 0.342754, 180, 3.39623
55, 5, 0, 3, 0, 0.335899, 180, 3.33333
56, 7, 9, 1, 0, 0.329181, 189, 3.43636
57, 5, 9, 1, 0, 0.322597, 198, 3.53571
58, 9, 9, 2, 0, 0.316145, 207, 3.63158
59, 10, 9, 2, 1, 0.309822, 216, 3.72414
60, 8, 9, 3, 0, 0.303626, 225, 3.81356
61, 5, 9, 2, 1, 0.297553, 234, 3.9
62, 5, 0, 1, 0, 0.291602, 234, 3.83607
63, 8, 9, 1, 1, 0.28577, 243, 3.91935
64, 8, 0, 1, 0, 0.280055, 243, 3.85714
65, 8, 0, 1, 0, 0.274454, 243, 3.79688
66, 8, 0, 3, 0, 0.268964, 243, 3.73846
67, 5, 9, 3, 0, 0.263585, 252, 3.81818
68, 7, 20, 2, 1, 0.258313, 272, 4.0597
69, 7, 0, 0, 0, 0.253147, 272, 4
70, 7, 0, 1, 0, 0.248084, 272, 3.94203
