cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32589, 0, 3, 0, 0, 0, 0
2, 29962, 1011, 1, 0, 0, 1011, 1011
3, 29962, 1011, 3, 0, 0, 2022, 1011
4, 29962, 1011, 0, 0, 0, 3033, 1011
5, 30472, 991, 3, 0, 0, 4024, 1006
6, 30472, 1011, 3, 0, 0, 5035, 1007
7, 30472, 1011, 3, 0, 0, 6046, 1007.67
8, 30472, 1011, 2, 0, 0, 7057, 1008.14
9, 29962, 1001, 1, 0, 0, 8058, 1007.25
10, 29962, 1011, 1, 0, 0, 9069, 1007.67
11, 29962, 1011, 1, 0, 0, 10080, 1008
12, 29962, 1011, 3, 0, 0, 11091, 1008.27
13, 29962, 1011, 1, 0, 0, 12102, 1008.5
14, 29962, 1011, 3, 0, 0, 13113, 1008.69
15, 29962, 1011, 3, 0, 0, 14124, 1008.86
16, 29962, 1011, 1, 0, 0, 15135, 1009
17, 29962, 1011, 3, 0, 0, 16146, 1009.12
18, 29962, 1011, 2, 0, 0, 17157, 1009.24
19, 30472, 991, 1, 0, 0, 18148, 1008.22
20, 29189, 991, 2, 0, 0, 19139, 1007.32
21, 29189, 1011, 1, 0, 0, 20150, 1007.5
22, 29954, 991, 0, 0, 0, 21141, 1006.71
23, 29962, 991, 2, 0, 0, 22132, 1006
24, 29954, 1001, 2, 0, 0, 23133, 1005.78
25, 29962, 991, 1, 0, 0, 24124, 1005.17
26, 29962, 1011, 0, 0, 0, 25135, 1005.4
27, 29954, 1001, 0, 0, 0, 26136, 1005.23
28, 29962, 1001, 2, 0, 0, 27137, 1005.07
29, 29954, 1001, 3, 0, 0, 28138, 1004.93
30, 28677, 1001, 2, 0, 0, 29139, 1004.79
31, 28677, 1011, 3, 0, 0, 30150, 1005
32, 29960, 1001, 3, 0, 0, 31151, 1004.87
33, 29960, 1011, 2, 0, 0, 32162, 1005.06
34, 29962, 991, 1, 0, 0, 33153, 1004.64
35, 29962, 1011, 1, 0, 0, 34164, 1004.82
36, 29962, 1011, 1, 0, 0, 35175, 1005
37, 29962, 1011, 1, 0, 0, 36186, 1005.17
38, 29962, 1011, 3, 0, 0, 37197, 1005.32
39, 29962, 1011, 1, 0, 0, 38208, 1005.47
40, 29962, 1011, 0, 0, 0, 39219, 1005.62
41, 29960, 1001, 2, 0, 0, 40220, 1005.5
42, 29962, 1001, 2, 0, 0, 41221, 1005.39
43, 32002, 991, 0, 0, 0, 42212, 1005.05
44, 29962, 1001, 2, 0, 0, 43213, 1004.95
45, 32002, 1001, 3, 0, 0, 44214, 1004.86
46, 30725, 991, 0, 0, 0, 45205, 1004.56
47, 30725, 1011, 2, 0, 0, 46216, 1004.7
48, 30853, 1011, 0, 0, 0, 47227, 1004.83
49, 30853, 1011, 0, 0, 0, 48238, 1004.96
50, 30853, 1011, 0, 0, 0, 49249, 1005.08
