cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 0, 0, 0, 1, 0.9025, 0, 0
4, 0, 1, 1, 1, 0.857375, 1, 0.333333
5, 1, 1, 2, 0, 0.814506, 2, 0.5
6, 1, 2, 1, 1, 0.773781, 4, 0.8
7, 2, 0, 2, 0, 0.735092, 4, 0.666667
8, 1, 2, 2, 0, 0.698337, 6, 0.857143
9, 1, 2, 2, 1, 0.66342, 8, 1
10, 0, 0, 2, 1, 0.630249, 8, 0.888889
11, 0, 0, 2, 0, 0.598737, 8, 0.8
12, 0, 0, 1, 1, 0.5688, 8, 0.727273
13, 0, 2, 2, 1, 0.54036, 10, 0.833333
14, 1, 2, 1, 0, 0.513342, 12, 0.923077
15, 1, 1, 2, 1, 0.487675, 13, 0.928571
16, 0, 0, 1, 0, 0.463291, 13, 0.866667
17, 0, 2, 2, 1, 0.440127, 15, 0.9375
18, 1, 2, 1, 1, 0.41812, 17, 1
19, 2, 0, 2, 1, 0.397214, 17, 0.944444
20, 0, 0, 1, 0, 0.377354, 17, 0.894737
21, 0, 2, 2, 0, 0.358486, 19, 0.95
22, 1, 2, 2, 0, 0.340562, 21, 1
23, 2, 1, 0, 1, 0.323534, 22, 1
24, 2, 2, 2, 0, 0.307357, 24, 1.04348
25, 2, 1, 2, 0, 0.291989, 25, 1.04167
26, 1, 2, 2, 0, 0.27739, 27, 1.08
27, 1, 2, 2, 0, 0.26352, 29, 1.11538
28, 2, 1, 0, 1, 0.250344, 30, 1.11111
29, 0, 1, 2, 0, 0.237827, 31, 1.10714
30, 1, 2, 2, 0, 0.225936, 33, 1.13793
31, 1, 2, 2, 0, 0.214639, 35, 1.16667
32, 2, 1, 2, 0, 0.203907, 36, 1.16129
33, 1, 2, 2, 0, 0.193711, 38, 1.1875
34, 0, 0, 0, 0, 0.184026, 38, 1.15152
35, 0, 1, 2, 0, 0.174825, 39, 1.14706
36, 2, 1, 2, 0, 0.166083, 40, 1.14286
37, 1, 2, 1, 1, 0.157779, 42, 1.16667
38, 1, 1, 2, 0, 0.14989, 43, 1.16216
39, 0, 0, 1, 0, 0.142396, 43, 1.13158
40, 0, 2, 2, 0, 0.135276, 45, 1.15385
41, 1, 2, 2, 0, 0.128512, 47, 1.175
42, 2, 1, 2, 1, 0.122087, 48, 1.17073
43, 2, 1, 2, 0, 0.115982, 49, 1.16667
44, 0, 0, 0, 0, 0.110183, 49, 1.13953
45, 0, 1, 2, 0, 0.104674, 50, 1.13636
46, 2, 1, 2, 0, 0.0994403, 51, 1.13333
47, 1, 2, 2, 0, 0.0944682, 53, 1.15217
48, 1, 2, 2, 0, 0.0897448, 55, 1.17021
49, 0, 0, 0, 0, 0.0852576, 55, 1.14583
50, 0, 1, 2, 0, 0.0809947, 56, 1.14286
51, 0, 0, 0, 0, 0.076945, 56, 1.12
52, 0, 1, 2, 0, 0.0730977, 57, 1.11765
53, 2, 1, 1, 1, 0.0694428, 58, 1.11538
54, 0, 2, 2, 0, 0.0659707, 60, 1.13208
55, 2, 1, 1, 0, 0.0626722, 61, 1.12963
56, 2, 0, 2, 0, 0.0595386, 61, 1.10909
57, 2, 1, 2, 0, 0.0565616, 62, 1.10714
58, 2, 1, 1, 0, 0.0537335, 63, 1.10526
59, 0, 2, 2, 0, 0.0510469, 65, 1.12069
60, 2, 1, 1, 0, 0.0484945, 66, 1.11864
61, 1, 1, 1, 0, 0.0460698, 67, 1.11667
62, 0, 2, 2, 0, 0.0437663, 69, 1.13115
63, 1, 2, 2, 0, 0.041578, 71, 1.14516
64, 1, 2, 1, 0, 0.0394991, 73, 1.15873
65, 2, 0, 2, 0, 0.0375241, 73, 1.14062
66, 0, 0, 0, 0, 0.0356479, 73, 1.12308
67, 0, 1, 2, 0, 0.0338655, 74, 1.12121
68, 2, 1, 1, 0, 0.0321723, 75, 1.1194
69, 1, 1, 1, 0, 0.0305636, 76, 1.11765
70, 0, 2, 2, 0, 0.0290355, 78, 1.13043
71, 2, 1, 2, 0, 0.0275837, 79, 1.12857
72, 1, 2, 2, 0, 0.0262045, 81, 1.14085
73, 0, 0, 0, 0, 0.0248943, 81, 1.125
74, 0, 1, 2, 0, 0.0236496, 82, 1.12329
75, 0, 0, 1, 0, 0.0224671, 82, 1.10811
76, 0, 2, 2, 0, 0.0213437, 84, 1.12
77, 2, 1, 1, 0, 0.0202765, 85, 1.11842
78, 0, 2, 1, 0, 0.0192627, 87, 1.12987
79, 0, 2, 2, 0, 0.0182996, 89, 1.14103
80, 1, 2, 2, 0, 0.0173846, 91, 1.1519
81, 2, 1, 0, 0, 0.0165154, 92, 1.15
82, 1, 0, 0, 0, 0.0156896, 92, 1.1358
83, 0, 1, 2, 0, 0.0149051, 93, 1.13415
84, 0, 0, 1, 0, 0.0141599, 93, 1.12048
85, 0, 2, 2, 0, 0.0134519, 95, 1.13095
86, 0, 0, 1, 0, 0.0127793, 95, 1.11765
