cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 0, 0, 0.868126, 36, 5.14286
9, 8, 9, 1, 1, 0.850763, 45, 5.625
10, 8, 0, 0, 0, 0.833748, 45, 5
11, 10, 9, 2, 1, 0.817073, 54, 5.4
12, 8, 9, 3, 1, 0.800731, 63, 5.72727
13, 5, 9, 2, 0, 0.784717, 72, 6
14, 5, 0, 0, 1, 0.769022, 72, 5.53846
15, 5, 0, 3, 1, 0.753642, 72, 5.14286
16, 7, 20, 2, 0, 0.738569, 92, 6.13333
17, 7, 0, 3, 1, 0.723798, 92, 5.75
18, 7, 0, 0, 1, 0.709322, 92, 5.41176
19, 7, 0, 2, 1, 0.695135, 92, 5.11111
20, 7, 0, 1, 1, 0.681233, 92, 4.84211
21, 5, 9, 1, 1, 0.667608, 101, 5.05
22, 8, 9, 2, 1, 0.654256, 110, 5.2381
23, 10, 9, 1, 0, 0.641171, 119, 5.40909
24, 10, 0, 2, 1, 0.628347, 119, 5.17391
25, 12, 9, 1, 1, 0.61578, 128, 5.33333
26, 12, 0, 3, 0, 0.603465, 128, 5.12
27, 5, 9, 1, 0, 0.591395, 137, 5.26923
28, 12, 9, 2, 0, 0.579568, 146, 5.40741
29, 12, 0, 0, 1, 0.567976, 146, 5.21429
30, 10, 9, 0, 1, 0.556617, 155, 5.34483
31, 8, 9, 2, 0, 0.545484, 164, 5.46667
32, 10, 9, 2, 1, 0.534575, 173, 5.58065
33, 12, 9, 3, 0, 0.523883, 182, 5.6875
34, 5, 9, 0, 0, 0.513405, 191, 5.78788
35, 5, 0, 1, 1, 0.503137, 191, 5.61765
36, 12, 9, 2, 1, 0.493075, 200, 5.71429
37, 12, 0, 1, 0, 0.483213, 200, 5.55556
38, 12, 0, 1, 0, 0.473549, 200, 5.40541
39, 12, 0, 2, 1, 0.464078, 200, 5.26316
40, 12, 0, 1, 0, 0.454796, 200, 5.12821
41, 12, 0, 1, 1, 0.4457, 200, 5
42, 12, 0, 0, 1, 0.436786, 200, 4.87805
43, 10, 9, 3, 1, 0.428051, 209, 4.97619
44, 10, 0, 0, 0, 0.41949, 209, 4.86047
45, 8, 9, 1, 1, 0.4111, 218, 4.95455
46, 8, 0, 0, 0, 0.402878, 218, 4.84444
47, 10, 9, 3, 1, 0.39482, 227, 4.93478
48, 10, 0, 3, 1, 0.386924, 227, 4.82979
49, 10, 0, 0, 0, 0.379185, 227, 4.72917
50, 9, 9, 1, 1, 0.371602, 236, 4.81633
51, 9, 0, 3, 0, 0.36417, 236, 4.72
52, 5, 9, 0, 0, 0.356886, 245, 4.80392
53, 5, 0, 1, 0, 0.349749, 245, 4.71154
54, 9, 9, 1, 0, 0.342754, 254, 4.79245
55, 9, 0, 2, 0, 0.335899, 254, 4.7037
56, 10, 9, 2, 1, 0.329181, 263, 4.78182
57, 8, 9, 3, 0, 0.322597, 272, 4.85714
58, 5, 9, 1, 0, 0.316145, 281, 4.92982
59, 8, 9, 2, 0, 0.309822, 290, 5
60, 10, 9, 2, 0, 0.303626, 299, 5.0678
61, 12, 9, 0, 0, 0.297553, 308, 5.13333
62, 10, 9, 3, 0, 0.291602, 317, 5.19672
63, 10, 0, 2, 0, 0.28577, 317, 5.1129
64, 12, 9, 1, 1, 0.280055, 326, 5.1746
65, 12, 0, 1, 0, 0.274454, 326, 5.09375
66, 12, 0, 1, 1, 0.268964, 326, 5.01538
67, 12, 0, 0, 1, 0.263585, 326, 4.93939
68, 10, 9, 0, 0, 0.258313, 335, 5
69, 8, 9, 1, 0, 0.253147, 344, 5.05882
