cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 3, 0, 0.868126, 36, 5.14286
9, 10, 0, 0, 1, 0.850763, 36, 4.5
10, 8, 9, 2, 1, 0.833748, 45, 5
11, 10, 9, 3, 1, 0.817073, 54, 5.4
12, 10, 0, 3, 0, 0.800731, 54, 4.90909
13, 10, 0, 3, 1, 0.784717, 54, 4.5
14, 10, 0, 2, 0, 0.769022, 54, 4.15385
15, 12, 9, 1, 1, 0.753642, 63, 4.5
16, 12, 0, 2, 1, 0.738569, 63, 4.2
17, 12, 0, 1, 0, 0.723798, 63, 3.9375
18, 12, 0, 1, 0, 0.709322, 63, 3.70588
19, 12, 0, 2, 1, 0.695135, 63, 3.5
20, 12, 0, 1, 1, 0.681233, 63, 3.31579
21, 12, 0, 3, 1, 0.667608, 63, 3.15
22, 5, 9, 1, 1, 0.654256, 72, 3.42857
23, 12, 9, 0, 1, 0.641171, 81, 3.68182
24, 10, 9, 3, 0, 0.628347, 90, 3.91304
25, 10, 0, 1, 1, 0.61578, 90, 3.75
26, 10, 0, 0, 1, 0.603465, 90, 3.6
27, 8, 9, 2, 1, 0.591395, 99, 3.80769
28, 10, 9, 0, 0, 0.579568, 108, 4
29, 8, 9, 0, 0, 0.567976, 117, 4.17857
30, 10, 9, 2, 1, 0.556617, 126, 4.34483
31, 8, 9, 0, 1, 0.545484, 135, 4.5
32, 10, 9, 2, 0, 0.534575, 144, 4.64516
33, 8, 9, 0, 1, 0.523883, 153, 4.78125
34, 10, 9, 2, 0, 0.513405, 162, 4.90909
35, 8, 9, 2, 1, 0.503137, 171, 5.02941
36, 10, 9, 1, 0, 0.493075, 180, 5.14286
37, 10, 0, 0, 0, 0.483213, 180, 5
38, 8, 9, 2, 1, 0.473549, 189, 5.10811
39, 10, 9, 0, 0, 0.464078, 198, 5.21053
40, 8, 9, 1, 0, 0.454796, 207, 5.30769
41, 8, 0, 0, 0, 0.4457, 207, 5.175
42, 10, 9, 0, 1, 0.436786, 216, 5.26829
43, 9, 9, 0, 0, 0.428051, 225, 5.35714
44, 9, 0, 2, 1, 0.41949, 225, 5.23256
45, 10, 9, 1, 1, 0.4111, 234, 5.31818
46, 10, 0, 3, 0, 0.402878, 234, 5.2
47, 10, 0, 2, 1, 0.39482, 234, 5.08696
48, 8, 9, 0, 0, 0.386924, 243, 5.17021
49, 10, 9, 3, 0, 0.379185, 252, 5.25
50, 10, 0, 0, 0, 0.371602, 252, 5.14286
51, 9, 9, 0, 0, 0.36417, 261, 5.22
52, 9, 0, 0, 1, 0.356886, 261, 5.11765
53, 9, 0, 1, 1, 0.349749, 261, 5.01923
54, 9, 0, 3, 0, 0.342754, 261, 4.92453
55, 5, 9, 2, 1, 0.335899, 270, 5
56, 5, 0, 3, 1, 0.329181, 270, 4.90909
57, 7, 9, 2, 1, 0.322597, 279, 4.98214
58, 7, 0, 0, 1, 0.316145, 279, 4.89474
59, 7, 0, 2, 1, 0.309822, 279, 4.81034
60, 7, 0, 0, 0, 0.303626, 279, 4.72881
61, 7, 0, 2, 1, 0.297553, 279, 4.65
62, 7, 0, 2, 0, 0.291602, 279, 4.57377
63, 7, 0, 2, 0, 0.28577, 279, 4.5
64, 7, 0, 2, 0, 0.280055, 279, 4.42857
65, 7, 0, 3, 0, 0.274454, 279, 4.35938
66, 7, 0, 1, 1, 0.268964, 279, 4.29231
67, 5, 9, 0, 0, 0.263585, 288, 4.36364
68, 5, 0, 0, 0, 0.258313, 288, 4.29851
69, 5, 0, 2, 0, 0.253147, 288, 4.23529
70, 5, 0, 3, 1, 0.248084, 288, 4.17391
