cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 3, 0, 0.868126, 36, 5.14286
9, 10, 0, 0, 1, 0.850763, 36, 4.5
10, 8, 9, 2, 1, 0.833748, 45, 5
11, 10, 9, 2, 1, 0.817073, 54, 5.4
12, 12, 9, 2, 0, 0.800731, 63, 5.72727
13, 12, 0, 2, 1, 0.784717, 63, 5.25
14, 12, 0, 0, 0, 0.769022, 63, 4.84615
15, 10, 9, 3, 1, 0.753642, 72, 5.14286
16, 10, 0, 2, 1, 0.738569, 72, 4.8
17, 12, 9, 1, 1, 0.723798, 81, 5.0625
18, 12, 0, 2, 0, 0.709322, 81, 4.76471
19, 12, 0, 1, 1, 0.695135, 81, 4.5
20, 12, 0, 3, 1, 0.681233, 81, 4.26316
21, 5, 9, 2, 0, 0.667608, 90, 4.5
22, 5, 0, 2, 1, 0.654256, 90, 4.28571
23, 5, 0, 2, 1, 0.641171, 90, 4.09091
24, 5, 0, 2, 1, 0.628347, 90, 3.91304
25, 5, 0, 0, 1, 0.61578, 90, 3.75
26, 5, 0, 0, 1, 0.603465, 90, 3.6
27, 5, 0, 2, 1, 0.591395, 90, 3.46154
28, 5, 0, 3, 0, 0.579568, 90, 3.33333
29, 7, 9, 2, 0, 0.567976, 99, 3.53571
30, 7, 0, 1, 1, 0.556617, 99, 3.41379
31, 5, 9, 3, 1, 0.545484, 108, 3.6
32, 7, 9, 3, 0, 0.534575, 117, 3.77419
33, 7, 0, 3, 0, 0.523883, 117, 3.65625
34, 7, 0, 2, 0, 0.513405, 117, 3.54545
35, 7, 0, 1, 1, 0.503137, 117, 3.44118
36, 5, 9, 0, 0, 0.493075, 126, 3.6
37, 5, 0, 2, 1, 0.483213, 126, 3.5
38, 5, 0, 2, 1, 0.473549, 126, 3.40541
39, 5, 0, 2, 1, 0.464078, 126, 3.31579
40, 5, 0, 2, 1, 0.454796, 126, 3.23077
41, 5, 0, 0, 1, 0.4457, 126, 3.15
42, 5, 0, 3, 1, 0.436786, 126, 3.07317
43, 7, 9, 0, 0, 0.428051, 135, 3.21429
44, 7, 0, 0, 1, 0.41949, 135, 3.13953
45, 7, 0, 2, 1, 0.4111, 135, 3.06818
46, 7, 0, 3, 0, 0.402878, 135, 3
47, 7, 0, 1, 0, 0.39482, 135, 2.93478
48, 5, 9, 2, 1, 0.386924, 144, 3.06383
49, 5, 0, 1, 1, 0.379185, 144, 3
50, 12, 9, 0, 1, 0.371602, 153, 3.12245
51, 10, 9, 3, 1, 0.36417, 162, 3.24
52, 10, 0, 1, 0, 0.356886, 162, 3.17647
53, 10, 0, 1, 1, 0.349749, 162, 3.11538
54, 10, 0, 2, 1, 0.342754, 162, 3.0566
55, 12, 9, 1, 0, 0.335899, 171, 3.16667
56, 12, 0, 2, 1, 0.329181, 171, 3.10909
57, 12, 0, 3, 0, 0.322597, 171, 3.05357
58, 5, 9, 3, 0, 0.316145, 180, 3.15789
59, 7, 9, 3, 0, 0.309822, 189, 3.25862
60, 7, 0, 1, 0, 0.303626, 189, 3.20339
61, 5, 9, 0, 0, 0.297553, 198, 3.3
62, 5, 0, 1, 0, 0.291602, 198, 3.2459
63, 12, 9, 0, 0, 0.28577, 207, 3.33871
64, 10, 9, 3, 0, 0.280055, 216, 3.42857
65, 10, 0, 2, 0, 0.274454, 216, 3.375
66, 12, 9, 0, 0, 0.268964, 225, 3.46154
67, 10, 9, 0, 0, 0.263585, 234, 3.54545
68, 8, 9, 0, 0, 0.258313, 243, 3.62687
69, 10, 9, 1, 0, 0.253147, 252, 3.70588
70, 10, 0, 1, 1, 0.248084, 252, 3.65217
