cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 3, 0, 0.868126, 36, 5.14286
9, 10, 0, 3, 1, 0.850763, 36, 4.5
10, 10, 0, 1, 0, 0.833748, 36, 4
11, 10, 0, 0, 1, 0.817073, 36, 3.6
12, 8, 9, 3, 1, 0.800731, 45, 4.09091
13, 5, 9, 3, 1, 0.784717, 54, 4.5
14, 7, 20, 3, 0, 0.769022, 74, 5.69231
15, 7, 0, 2, 0, 0.753642, 74, 5.28571
16, 7, 0, 1, 0, 0.738569, 74, 4.93333
17, 5, 9, 2, 1, 0.723798, 83, 5.1875
18, 5, 0, 3, 0, 0.709322, 83, 4.88235
19, 7, 20, 3, 0, 0.695135, 103, 5.72222
20, 7, 0, 0, 1, 0.681233, 103, 5.42105
21, 7, 0, 2, 1, 0.667608, 103, 5.15
22, 7, 0, 0, 0, 0.654256, 103, 4.90476
23, 7, 0, 2, 1, 0.641171, 103, 4.68182
24, 7, 0, 3, 1, 0.628347, 103, 4.47826
25, 7, 0, 1, 0, 0.61578, 103, 4.29167
26, 5, 9, 3, 1, 0.603465, 112, 4.48
27, 7, 20, 2, 1, 0.591395, 132, 5.07692
28, 7, 0, 2, 1, 0.579568, 132, 4.88889
29, 7, 0, 3, 1, 0.567976, 132, 4.71429
30, 7, 0, 1, 1, 0.556617, 132, 4.55172
31, 5, 9, 1, 1, 0.545484, 141, 4.7
32, 8, 9, 1, 1, 0.534575, 150, 4.83871
33, 8, 0, 0, 1, 0.523883, 150, 4.6875
34, 10, 9, 1, 0, 0.513405, 159, 4.81818
35, 10, 0, 3, 1, 0.503137, 159, 4.67647
36, 10, 0, 2, 0, 0.493075, 159, 4.54286
37, 8, 9, 3, 1, 0.483213, 168, 4.66667
38, 5, 9, 3, 1, 0.473549, 177, 4.78378
39, 7, 20, 0, 0, 0.464078, 197, 5.18421
40, 7, 0, 2, 1, 0.454796, 197, 5.05128
41, 7, 0, 2, 1, 0.4457, 197, 4.925
42, 7, 0, 3, 0, 0.436786, 197, 4.80488
43, 7, 0, 1, 0, 0.428051, 197, 4.69048
44, 5, 9, 3, 1, 0.41949, 206, 4.7907
45, 7, 20, 0, 1, 0.4111, 226, 5.13636
46, 7, 0, 2, 1, 0.402878, 226, 5.02222
47, 7, 0, 1, 0, 0.39482, 226, 4.91304
48, 5, 9, 1, 0, 0.386924, 235, 5
49, 8, 9, 2, 0, 0.379185, 244, 5.08333
50, 10, 9, 2, 0, 0.371602, 253, 5.16327
51, 12, 9, 3, 1, 0.36417, 262, 5.24
52, 5, 9, 1, 0, 0.356886, 271, 5.31373
53, 12, 9, 1, 1, 0.349749, 280, 5.38462
54, 12, 0, 1, 0, 0.342754, 280, 5.28302
55, 12, 0, 0, 1, 0.335899, 280, 5.18519
56, 10, 9, 1, 0, 0.329181, 289, 5.25455
57, 10, 0, 0, 1, 0.322597, 289, 5.16071
58, 8, 9, 3, 1, 0.316145, 298, 5.22807
59, 5, 9, 3, 1, 0.309822, 307, 5.2931
60, 7, 20, 2, 0, 0.303626, 327, 5.54237
61, 7, 0, 2, 1, 0.297553, 327, 5.45
62, 7, 0, 0, 0, 0.291602, 327, 5.36066
63, 7, 0, 1, 0, 0.28577, 327, 5.27419
64, 5, 9, 1, 0, 0.280055, 336, 5.33333
65, 8, 9, 0, 0, 0.274454, 345, 5.39062
66, 10, 9, 2, 0, 0.268964, 354, 5.44615
67, 8, 9, 0, 0, 0.263585, 363, 5.5
68, 10, 9, 1, 0, 0.258313, 372, 5.55224
69, 10, 0, 0, 1, 0.253147, 372, 5.47059
