cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 0, 0, 0.868126, 36, 5.14286
9, 8, 9, 1, 0, 0.850763, 45, 5.625
10, 8, 0, 1, 0, 0.833748, 45, 5
11, 8, 0, 3, 1, 0.817073, 45, 4.5
12, 5, 9, 1, 0, 0.800731, 54, 4.90909
13, 8, 9, 3, 1, 0.784717, 63, 5.25
14, 5, 9, 3, 0, 0.769022, 72, 5.53846
15, 7, 20, 2, 1, 0.753642, 92, 6.57143
16, 7, 0, 3, 0, 0.738569, 92, 6.13333
17, 7, 0, 2, 1, 0.723798, 92, 5.75
18, 7, 0, 1, 1, 0.709322, 92, 5.41176
19, 5, 9, 2, 1, 0.695135, 101, 5.61111
20, 5, 0, 0, 1, 0.681233, 101, 5.31579
21, 5, 0, 2, 1, 0.667608, 101, 5.05
22, 5, 0, 2, 1, 0.654256, 101, 4.80952
23, 5, 0, 3, 1, 0.641171, 101, 4.59091
24, 7, 20, 2, 0, 0.628347, 121, 5.26087
25, 7, 0, 3, 0, 0.61578, 121, 5.04167
26, 7, 0, 2, 0, 0.603465, 121, 4.84
27, 7, 0, 0, 1, 0.591395, 121, 4.65385
28, 7, 0, 2, 0, 0.579568, 121, 4.48148
29, 7, 0, 2, 0, 0.567976, 121, 4.32143
30, 7, 0, 3, 1, 0.556617, 121, 4.17241
31, 7, 0, 3, 1, 0.545484, 121, 4.03333
32, 7, 0, 1, 1, 0.534575, 121, 3.90323
33, 5, 9, 1, 0, 0.523883, 130, 4.0625
34, 8, 9, 0, 1, 0.513405, 139, 4.21212
35, 10, 9, 1, 0, 0.503137, 148, 4.35294
36, 10, 0, 2, 1, 0.493075, 148, 4.22857
37, 8, 9, 3, 0, 0.483213, 157, 4.36111
38, 5, 9, 1, 0, 0.473549, 166, 4.48649
39, 8, 9, 0, 1, 0.464078, 175, 4.60526
40, 10, 9, 2, 1, 0.454796, 184, 4.71795
41, 8, 9, 0, 1, 0.4457, 193, 4.825
42, 10, 9, 2, 1, 0.436786, 202, 4.92683
43, 8, 9, 2, 1, 0.428051, 211, 5.02381
44, 10, 9, 3, 0, 0.41949, 220, 5.11628
45, 10, 0, 3, 1, 0.4111, 220, 5
46, 10, 0, 2, 1, 0.402878, 220, 4.88889
47, 12, 9, 3, 0, 0.39482, 229, 4.97826
48, 5, 9, 1, 0, 0.386924, 238, 5.06383
49, 12, 9, 2, 0, 0.379185, 247, 5.14583
50, 12, 0, 2, 1, 0.371602, 247, 5.04082
51, 12, 0, 0, 0, 0.36417, 247, 4.94
52, 10, 9, 1, 1, 0.356886, 256, 5.01961
53, 10, 0, 0, 0, 0.349749, 256, 4.92308
54, 8, 9, 1, 0, 0.342754, 265, 5
55, 8, 0, 0, 1, 0.335899, 265, 4.90741
56, 10, 9, 1, 0, 0.329181, 274, 4.98182
57, 10, 0, 0, 0, 0.322597, 274, 4.89286
58, 9, 9, 3, 0, 0.316145, 283, 4.96491
59, 5, 9, 0, 1, 0.309822, 292, 5.03448
60, 5, 0, 0, 0, 0.303626, 292, 4.94915
61, 5, 0, 2, 1, 0.297553, 292, 4.86667
62, 5, 0, 1, 1, 0.291602, 292, 4.78689
63, 9, 9, 1, 0, 0.28577, 301, 4.85484
64, 9, 0, 3, 0, 0.280055, 301, 4.77778
65, 5, 9, 2, 1, 0.274454, 310, 4.84375
66, 5, 0, 3, 0, 0.268964, 310, 4.76923
67, 7, 9, 1, 0, 0.263585, 319, 4.83333
68, 5, 9, 2, 1, 0.258313, 328, 4.89552
69, 5, 0, 2, 1, 0.253147, 328, 4.82353
