cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.98, 9, 9
3, 5, 9, 1, 1, 0.9604, 18, 9
4, 12, 9, 1, 1, 0.941192, 27, 9
5, 12, 0, 0, 1, 0.922368, 27, 6.75
6, 10, 9, 3, 1, 0.903921, 36, 7.2
7, 10, 0, 1, 1, 0.885842, 36, 6
8, 10, 0, 2, 0, 0.868126, 36, 5.14286
9, 12, 9, 0, 1, 0.850763, 45, 5.625
10, 10, 9, 1, 1, 0.833748, 54, 6
11, 10, 0, 1, 1, 0.817073, 54, 5.4
12, 10, 0, 0, 1, 0.800731, 54, 4.90909
13, 8, 9, 3, 1, 0.784717, 63, 5.25
14, 5, 9, 1, 0, 0.769022, 72, 5.53846
15, 8, 9, 2, 1, 0.753642, 81, 5.78571
16, 10, 9, 0, 1, 0.738569, 90, 6
17, 8, 9, 2, 0, 0.723798, 99, 6.1875
18, 10, 9, 2, 1, 0.709322, 108, 6.35294
19, 12, 9, 1, 1, 0.695135, 117, 6.5
20, 12, 0, 2, 1, 0.681233, 117, 6.15789
21, 12, 0, 1, 1, 0.667608, 117, 5.85
22, 12, 0, 0, 0, 0.654256, 117, 5.57143
23, 10, 9, 1, 1, 0.641171, 126, 5.72727
24, 10, 0, 2, 0, 0.628347, 126, 5.47826
25, 12, 9, 3, 0, 0.61578, 135, 5.625
26, 5, 9, 0, 1, 0.603465, 144, 5.76
27, 5, 0, 0, 1, 0.591395, 144, 5.53846
28, 5, 0, 2, 1, 0.579568, 144, 5.33333
29, 5, 0, 2, 1, 0.567976, 144, 5.14286
30, 5, 0, 1, 0, 0.556617, 144, 4.96552
31, 12, 9, 3, 0, 0.545484, 153, 5.1
32, 5, 9, 0, 1, 0.534575, 162, 5.22581
33, 5, 0, 2, 0, 0.523883, 162, 5.0625
34, 5, 0, 0, 1, 0.513405, 162, 4.90909
35, 5, 0, 0, 1, 0.503137, 162, 4.76471
36, 5, 0, 1, 0, 0.493075, 162, 4.62857
37, 12, 9, 1, 0, 0.483213, 171, 4.75
38, 12, 0, 0, 0, 0.473549, 171, 4.62162
39, 10, 9, 0, 0, 0.464078, 180, 4.73684
40, 8, 9, 2, 1, 0.454796, 189, 4.84615
41, 10, 9, 0, 0, 0.4457, 198, 4.95
42, 8, 9, 0, 1, 0.436786, 207, 5.04878
43, 10, 9, 1, 1, 0.428051, 216, 5.14286
44, 10, 0, 1, 0, 0.41949, 216, 5.02326
45, 10, 0, 2, 0, 0.4111, 216, 4.90909
46, 8, 9, 3, 1, 0.402878, 225, 5
47, 5, 9, 3, 1, 0.39482, 234, 5.08696
48, 7, 20, 1, 1, 0.386924, 254, 5.40426
49, 5, 9, 1, 0, 0.379185, 263, 5.47917
50, 8, 9, 0, 1, 0.371602, 272, 5.55102
51, 10, 9, 0, 0, 0.36417, 281, 5.62
52, 9, 9, 1, 0, 0.356886, 290, 5.68627
53, 9, 0, 1, 0, 0.349749, 290, 5.57692
54, 9, 0, 2, 0, 0.342754, 290, 5.4717
55, 10, 9, 1, 0, 0.335899, 299, 5.53704
56, 10, 0, 2, 1, 0.329181, 299, 5.43636
57, 8, 9, 1, 1, 0.322597, 308, 5.5
58, 8, 0, 0, 0, 0.316145, 308, 5.40351
59, 10, 9, 3, 1, 0.309822, 317, 5.46552
60, 10, 0, 2, 0, 0.303626, 317, 5.37288
61, 8, 9, 2, 0, 0.297553, 326, 5.43333
62, 10, 9, 2, 0, 0.291602, 335, 5.4918
63, 12, 9, 1, 0, 0.28577, 344, 5.54839
64, 12, 0, 2, 0, 0.280055, 344, 5.46032
65, 12, 0, 0, 0, 0.274454, 344, 5.375
66, 10, 9, 1, 0, 0.268964, 353, 5.43077
67, 10, 0, 1, 1, 0.263585, 353, 5.34848
68, 10, 0, 2, 0, 0.258313, 353, 5.26866
69, 12, 9, 2, 1, 0.253147, 362, 5.32353
