cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2227961856, 0, 6, 0, 0.1, 0, 0
2, 2228092944, 2, 6, 1, 0.1, 2, 1
3, 2228092944, 0, 6, 0, 0.1, 2, 0.666667
4, 2228092944, 0, 0, 0, 0.1, 2, 0.5
5, 2228092944, 0, 3, 0, 0.1, 2, 0.4
6, 2228094480, 2, 8, 0, 0.1, 4, 0.666667
7, 2228094489, 2, 8, 0, 0.1, 6, 0.857143
8, 2228094489, 0, 6, 0, 0.1, 6, 0.75
9, 2228094489, 0, 0, 0, 0.1, 6, 0.666667
10, 2228094489, 0, 4, 0, 0.1, 6, 0.6
11, 2228094489, 0, 1, 0, 0.1, 6, 0.545455
12, 2228094489, 0, 0, 0, 0.1, 6, 0.5
13, 2228094489, 0, 5, 0, 0.1, 6, 0.461538
14, 0, 3, 7, 0, 0.1, 9, 0.642857
15, 131076, 2, 8, 0, 0.1, 11, 0.733333
16, 163845, 2, 0, 0, 0.1, 13, 0.8125
17, 163845, 0, 8, 0, 0.1, 13, 0.764706
18, 163845, 0, 1, 0, 0.1, 13, 0.722222
