cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32638, 0, 1, 0, 0, 0, 0
2, 29962, 1011, 2, 0, 0, 1011, 505.5
3, 30472, 991, 1, 0, 0, 2002, 667.333
4, 29189, 991, 2, 0, 0, 2993, 748.25
5, 29189, 1011, 0, 0, 0, 4004, 800.8
6, 29189, 1011, 0, 0, 0, 5015, 835.833
7, 29189, 1011, 0, 0, 0, 6026, 860.857
8, 29189, 1011, 2, 0, 0, 7037, 879.625
9, 29189, 1011, 2, 0, 0, 8048, 894.222
10, 29189, 1011, 0, 0, 0, 9059, 905.9
11, 29189, 1011, 1, 0, 0, 10070, 915.455
12, 29954, 991, 0, 0, 0, 11061, 921.75
13, 29962, 991, 3, 0, 0, 12052, 927.077
14, 29962, 1011, 0, 0, 0, 13063, 933.071
15, 32002, 991, 1, 0, 0, 14054, 936.933
16, 32002, 1011, 3, 0, 0, 15065, 941.562
17, 30725, 991, 1, 0, 0, 16056, 944.471
18, 32002, 1001, 0, 0, 0, 17057, 947.611
19, 29962, 991, 0, 0, 0, 18048, 949.895
20, 30472, 991, 1, 0, 0, 19039, 951.95
21, 29189, 991, 1, 0, 0, 20030, 953.81
22, 29699, 991, 2, 0, 0, 21021, 955.5
23, 29706, 991, 1, 0, 0, 22012, 957.043
24, 29706, 1011, 0, 0, 0, 23023, 959.292
25, 29699, 1001, 1, 0, 0, 24024, 960.96
26, 29699, 1011, 0, 0, 0, 25035, 962.885
27, 29699, 1011, 1, 0, 0, 26046, 964.667
28, 29699, 1011, 3, 0, 0, 27057, 966.321
29, 28677, 1001, 0, 0, 0, 28058, 967.517
30, 28677, 1011, 3, 0, 0, 29069, 968.967
31, 29960, 1001, 3, 0, 0, 30070, 970
32, 29960, 1011, 0, 0, 0, 31081, 971.281
33, 29962, 991, 1, 0, 0, 32072, 971.879
34, 29962, 1011, 0, 0, 0, 33083, 973.029
35, 32385, 991, 0, 0, 0, 34074, 973.543
36, 32385, 1011, 3, 0, 0, 35085, 974.583
37, 31365, 991, 1, 0, 0, 36076, 975.027
38, 32385, 1001, 2, 0, 0, 37077, 975.711
39, 29706, 1001, 3, 0, 0, 38078, 976.359
40, 29706, 1011, 2, 0, 0, 39089, 977.225
41, 25608, 1001, 0, 0, 0, 40090, 977.805
42, 29706, 1001, 1, 0, 0, 41091, 978.357
43, 29706, 1011, 2, 0, 0, 42102, 979.116
44, 25608, 1001, 2, 0, 0, 43103, 979.614
45, 25610, 1001, 0, 0, 0, 44104, 980.089
46, 25608, 1001, 3, 0, 0, 45105, 980.543
47, 25608, 1011, 2, 0, 0, 46116, 981.191
48, 25610, 1001, 3, 0, 0, 47117, 981.604
49, 25610, 1011, 0, 0, 0, 48128, 982.204
50, 25608, 1001, 3, 0, 0, 49129, 982.58
51, 25608, 1011, 3, 0, 0, 50140, 983.137
52, 25608, 1011, 0, 0, 0, 51151, 983.673
53, 29706, 1001, 1, 0, 0, 52152, 984
54, 29706, 1011, 1, 0, 0, 53163, 984.5
55, 29706, 1011, 2, 0, 0, 54174, 984.982
56, 25608, 1001, 0, 0, 0, 55175, 985.268
57, 29722, 1001, 2, 0, 0, 56176, 985.544
58, 25624, 1001, 2, 0, 0, 57177, 985.81
59, 25626, 1001, 2, 0, 0, 58178, 986.068
60, 31762, 1001, 0, 0, 0, 59179, 986.317
61, 25674, 901, 2, 0, 0, 60080, 984.918
