cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 2, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0
3, 0, 1, 0, 0, 0, 1, 0.333333
4, 1, 0, 0, 0, 0, 1, 0.25
5, 1, 0, 2, 0, 0, 1, 0.2
6, 2, 1, 2, 0, 0, 2, 0.333333
7, 2, 1, 1, 0, 0, 3, 0.428571
8, 0, 2, 2, 0, 0, 5, 0.625
9, 2, 1, 0, 0, 0, 6, 0.666667
10, 1, 0, 0, 0, 0, 6, 0.6
11, 0, 1, 1, 0, 0, 7, 0.636364
12, 2, 0, 1, 0, 0, 7, 0.583333
13, 2, 0, 2, 0, 0, 7, 0.538462
14, 2, 1, 1, 0, 0, 8, 0.571429
15, 0, 2, 1, 0, 0, 10, 0.666667
16, 0, 2, 0, 0, 0, 12, 0.75
17, 2, 2, 0, 0, 0, 14, 0.823529
18, 2, 2, 0, 0, 0, 16, 0.888889
19, 0, 1, 2, 0, 0, 17, 0.894737
20, 1, 2, 2, 0, 0, 19, 0.95
21, 1, 2, 1, 0, 0, 21, 1
22, 2, 0, 0, 0, 0, 21, 0.954545
23, 1, 0, 0, 0, 0, 21, 0.913043
24, 2, 2, 2, 0, 0, 23, 0.958333
25, 0, 0, 1, 0, 0, 23, 0.92
26, 0, 2, 0, 0, 0, 25, 0.961538
27, 2, 2, 0, 0, 0, 27, 1
28, 0, 1, 2, 0, 0, 28, 1
29, 1, 2, 1, 0, 0, 30, 1.03448
30, 1, 1, 0, 0, 0, 31, 1.03333
31, 2, 2, 2, 0, 0, 33, 1.06452
32, 0, 0, 0, 0, 0, 33, 1.03125
33, 0, 1, 2, 0, 0, 34, 1.0303
34, 1, 2, 1, 0, 0, 36, 1.05882
35, 1, 1, 1, 0, 0, 37, 1.05714
36, 1, 1, 2, 0, 0, 38, 1.05556
37, 0, 0, 1, 0, 0, 38, 1.02703
38, 0, 2, 1, 0, 0, 40, 1.05263
39, 2, 0, 2, 0, 0, 40, 1.02564
40, 1, 2, 1, 0, 0, 42, 1.05
41, 2, 0, 0, 0, 0, 42, 1.02439
42, 0, 1, 1, 0, 0, 43, 1.02381
43, 0, 2, 0, 0, 0, 45, 1.04651
44, 2, 2, 2, 0, 0, 47, 1.06818
45, 1, 2, 2, 0, 0, 49, 1.08889
46, 1, 2, 0, 0, 0, 51, 1.1087
47, 2, 2, 2, 0, 0, 53, 1.12766
48, 1, 2, 2, 0, 0, 55, 1.14583
49, 2, 1, 2, 0, 0, 56, 1.14286
50, 0, 0, 0, 0, 0, 56, 1.12
51, 0, 1, 1, 0, 0, 57, 1.11765
52, 1, 1, 0, 0, 0, 58, 1.11538
53, 0, 1, 0, 0, 0, 59, 1.11321
54, 0, 1, 0, 0, 0, 60, 1.11111
55, 0, 1, 1, 0, 0, 61, 1.10909
56, 1, 1, 0, 0, 0, 62, 1.10714
57, 2, 2, 0, 0, 0, 64, 1.12281
58, 2, 2, 2, 0, 0, 66, 1.13793
59, 0, 0, 2, 0, 0, 66, 1.11864
60, 0, 0, 2, 0, 0, 66, 1.1
61, 0, 0, 2, 0, 0, 66, 1.08197
62, 0, 0, 2, 0, 0, 66, 1.06452
63, 0, 0, 0, 0, 0, 66, 1.04762
64, 0, 1, 2, 0, 0, 67, 1.04688
65, 0, 0, 1, 0, 0, 67, 1.03077
66, 0, 2, 2, 0, 0, 69, 1.04545
67, 0, 0, 1, 0, 0, 69, 1.02985
68, 0, 2, 0, 0, 0, 71, 1.04412
69, 0, 1, 1, 0, 0, 72, 1.04348
70, 1, 1, 1, 0, 0, 73, 1.04286
71, 2, 0, 1, 0, 0, 73, 1.02817
72, 1, 1, 0, 0, 0, 74, 1.02778
73, 2, 2, 0, 0, 0, 76, 1.0411
74, 0, 1, 2, 0, 0, 77, 1.04054
75, 2, 1, 1, 0, 0, 78, 1.04
76, 0, 2, 1, 0, 0, 80, 1.05263
77, 0, 2, 2, 0, 0, 82, 1.06494
78, 2, 1, 0, 0, 0, 83, 1.0641
79, 1, 0, 2, 0, 0, 83, 1.05063
80, 1, 2, 2, 0, 0, 85, 1.0625
81, 1, 2, 2, 0, 0, 87, 1.07407
82, 0, 0, 0, 0, 0, 87, 1.06098
83, 0, 1, 1, 0, 0, 88, 1.06024
84, 1, 1, 1, 0, 0, 89, 1.05952
85, 1, 1, 2, 0, 0, 90, 1.05882
86, 1, 2, 1, 0, 0, 92, 1.06977
87, 1, 1, 1, 0, 0, 93, 1.06897
88, 0, 2, 2, 0, 0, 95, 1.07955
89, 1, 2, 2, 0, 0, 97, 1.08989
90, 2, 1, 1, 0, 0, 98, 1.08889
91, 1, 1, 1, 0, 0, 99, 1.08791
92, 0, 2, 2, 0, 0, 101, 1.09783
93, 2, 1, 1, 0, 0, 102, 1.09677
94, 2, 0, 1, 0, 0, 102, 1.08511
95, 1, 1, 2, 0, 0, 103, 1.08421
96, 0, 0, 2, 0, 0, 103, 1.07292
97, 0, 0, 2, 0, 0, 103, 1.06186
98, 0, 0, 2, 0, 0, 103, 1.05102
99, 0, 0, 0, 0, 0, 103, 1.0404
100, 0, 1, 1, 0, 0, 104, 1.04
101, 2, 0, 1, 0, 0, 104, 1.0297
102, 2, 0, 1, 0, 0, 104, 1.01961
103, 1, 1, 2, 0, 0, 105, 1.01942
104, 2, 1, 1, 0, 0, 106, 1.01923
105, 1, 1, 0, 0, 0, 107, 1.01905
106, 1, 0, 1, 0, 0, 107, 1.00943
107, 2, 0, 2, 0, 0, 107, 1
108, 2, 1, 2, 0, 0, 108, 1
109, 1, 2, 1, 0, 0, 110, 1.00917
110, 2, 0, 0, 0, 0, 110, 1
111, 1, 0, 1, 0, 0, 110, 0.990991
112, 2, 0, 2, 0, 0, 110, 0.982143
113, 1, 2, 0, 0, 0, 112, 0.99115
114, 2, 2, 1, 0, 0, 114, 1
115, 1, 1, 2, 0, 0, 115, 1
116, 1, 2, 2, 0, 0, 117, 1.00862
117, 1, 2, 0, 0, 0, 119, 1.01709
118, 1, 0, 1, 0, 0, 119, 1.00847
119, 0, 2, 0, 0, 0, 121, 1.01681
120, 0, 1, 2, 0, 0, 122, 1.01667
121, 1, 2, 1, 0, 0, 124, 1.02479
122, 0, 2, 1, 0, 0, 126, 1.03279
123, 0, 2, 2, 0, 0, 128, 1.04065
124, 0, 0, 1, 0, 0, 128, 1.03226
125, 0, 2, 1, 0, 0, 130, 1.04
126, 2, 0, 1, 0, 0, 130, 1.03175
127, 1, 1, 1, 0, 0, 131, 1.0315
128, 0, 2, 0, 0, 0, 133, 1.03906
129, 0, 1, 0, 0, 0, 134, 1.03876
130, 2, 2, 2, 0, 0, 136, 1.04615
131, 0, 0, 2, 0, 0, 136, 1.03817
132, 0, 0, 1, 0, 0, 136, 1.0303
133, 0, 2, 0, 0, 0, 138, 1.03759
