cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1087111168, 0, 7, 0, 0, 0, 0
2, 1087242244, 2, 1, 0, 0, 2, 1
3, 1087242244, 0, 1, 0, 0, 2, 0.666667
4, 1087242244, 0, 6, 0, 0, 2, 0.5
5, 1087250452, 2, 8, 0, 0, 4, 0.8
6, 0, 4, 1, 0, 0, 8, 1.33333
7, 147456, 2, 2, 0, 0, 10, 1.42857
8, 151680, 2, 1, 0, 0, 12, 1.5
9, 151680, 0, 5, 0, 0, 12, 1.33333
10, 151680, 0, 1, 0, 0, 12, 1.2
11, 151680, 0, 3, 0, 0, 12, 1.09091
12, 152736, 2, 3, 0, 0, 14, 1.16667
13, 152736, 0, 6, 0, 0, 14, 1.07692
14, 152736, 0, 7, 0, 0, 14, 1
15, 153252, 2, 8, 0, 0, 16, 1.06667
16, 0, 3, 6, 0, 0, 19, 1.1875
17, 131088, 2, 4, 0, 0, 21, 1.23529
18, 133392, 2, 0, 0, 0, 23, 1.27778
19, 133392, 0, 8, 0, 0, 23, 1.21053
20, 133401, 2, 8, 0, 0, 25, 1.25
21, 133401, 0, 2, 0, 0, 25, 1.19048
22, 0, 4, 7, 0, 0, 29, 1.31818
23, 131076, 2, 3, 0, 0, 31, 1.34783
24, 140292, 2, 8, 0, 0, 33, 1.375
25, 140805, 2, 7, 0, 0, 35, 1.4
26, 140805, 0, 1, 0, 0, 35, 1.34615
27, 157317, 2, 2, 0, 0, 37, 1.37037
28, 157317, 0, 1, 0, 0, 37, 1.32143
29, 157317, 0, 3, 0, 0, 37, 1.27586
30, 157317, 0, 6, 0, 0, 37, 1.23333
31, 0, 4, 5, 0, 0, 41, 1.32258
32, 131136, 2, 2, 0, 0, 43, 1.34375
33, 135234, 2, 8, 0, 0, 45, 1.36364
34, 135234, 0, 2, 0, 0, 45, 1.32353
35, 135234, 0, 5, 0, 0, 45, 1.28571
36, 135234, 0, 7, 0, 0, 45, 1.25
37, 0, 1, 7, 0, 0, 46, 1.24324
38, 131076, 2, 7, 0, 0, 48, 1.26316
39, 131076, 0, 2, 0, 0, 48, 1.23077
40, 137220, 2, 6, 0, 0, 50, 1.25
41, 137364, 2, 8, 0, 0, 52, 1.26829
42, 0, 4, 8, 0, 0, 56, 1.33333
43, 131073, 2, 1, 0, 0, 58, 1.34884
44, 147969, 2, 3, 0, 0, 60, 1.36364
45, 157185, 2, 8, 0, 0, 62, 1.37778
46, 157185, 0, 7, 0, 0, 62, 1.34783
47, 157317, 2, 2, 0, 0, 64, 1.3617
48, 157317, 0, 0, 0, 0, 64, 1.33333
49, 157317, 0, 1, 0, 0, 64, 1.30612
50, 157317, 0, 3, 0, 0, 64, 1.28
51, 157317, 0, 1, 0, 0, 64, 1.2549
52, 157317, 0, 2, 0, 0, 64, 1.23077
53, 157317, 0, 7, 0, 0, 64, 1.20755
54, 157317, 0, 0, 0, 0, 64, 1.18519
55, 157317, 0, 5, 0, 0, 64, 1.16364
56, 157317, 0, 1, 0, 0, 64, 1.14286
57, 157317, 0, 3, 0, 0, 64, 1.12281
58, 157317, 0, 8, 0, 0, 64, 1.10345
59, 157317, 0, 5, 0, 0, 64, 1.08475
60, 157317, 0, 6, 0, 0, 64, 1.06667
61, 0, 4, 8, 0, 0, 68, 1.11475
62, 131073, 2, 5, 0, 0, 70, 1.12903
63, 131649, 2, 8, 0, 0, 72, 1.14286
64, 131649, 0, 5, 0, 0, 72, 1.125
65, 131649, 0, 6, 0, 0, 72, 1.10769
66, 139857, 2, 6, 0, 0, 74, 1.12121
67, 139857, 0, 4, 0, 0, 74, 1.10448
68, 139857, 0, 6, 0, 0, 74, 1.08824
69, 139857, 0, 5, 0, 0, 74, 1.07246
70, 139857, 0, 0, 0, 0, 74, 1.05714
71, 139857, 0, 3, 0, 0, 74, 1.04225
72, 0, 1, 4, 0, 0, 75, 1.04167
