cycle,winavg
455,122.96263736263737
1455,123.53
2455,123.54
3455,123.42
4455,123.95
5455,124.77
6455,124.52
7455,125.3
8455,125.38
9455,125.19
10455,125.82
11455,125.52
12455,125.52
13455,125.49
14455,126.05
15455,125.34
16455,125.67
17455,126.32
18455,126.05
19455,125.94
20455,126.35
21455,126.21
22455,126.63
23455,126.75
24455,126.36
25455,126.44
26455,126.44
27455,126.71
28455,126.48
29455,126.19
30455,126.79
31455,126.94
32455,126.79
33455,126.56
34455,127.07
35455,127.12
36455,126.93
37455,126.72
38455,127.12
39455,126.62
40455,126.68
41455,126.91
42455,126.71
43455,127.02
44455,127.06
45455,127.17
46455,127.09
47455,127.28
48455,126.94
49455,127.31
50455,127.64
51455,127.23
52455,127.02
53455,127.09
54455,126.91
55455,126.5
56455,127.18
57455,127.42
58455,127.06
59455,127.06
60455,127.74
61455,127.28
62455,127.02
63455,127.3
64455,127.57
65455,127.41
66455,127.21
67455,126.95
68455,127.25
69455,127.25
70455,127.63
71455,127.12
72455,127.25
73455,127.51
74455,127.37
75455,127.2
76455,127.61
77455,127.1
78455,127.19
79455,127.42
80455,127.45
81455,127.87
82455,127.58
83455,127.64
84455,127.88
85455,127.47
86455,128.13
87455,127.56
88455,127.78
89455,127.58
90455,127.35
91455,127.13
92455,127.73
93455,127.49
94455,127.41
95455,127.81
96455,127.38
97455,127.56
98455,127.38
99455,127.81
100455,127.21
101455,127.89
102455,127.46
103455,127.58
104455,127.73
105455,127.56
106455,127.3
107455,127.38
108455,127.39
109455,127.33
110455,127.27
111455,128.19
112455,127.73
113455,127.54
114455,127.72
115455,127.52
116455,127.8
117455,128.03
118455,127.43
119455,127.7
120455,127.85
121455,127.18
122455,127.37
123455,127.86
124455,127.67
125455,127.73
126455,127.69
127455,127.91
128455,127.61
129455,127.76
130455,127.58
131455,127.73
132455,127.87
133455,127.59
134455,127.71
135455,127.39
136455,127.38
137455,127.21
138455,127.52
139455,127.85
140455,127.9
141455,127.78
142455,127.77
143455,127.58
144455,127.83
145455,128.04
146455,127.92
147455,127.96
148455,127.69
149455,128.02
150455,128.04
151455,128.07
152455,127.54
153455,128.14
154455,127.64
155455,128.12
156455,127.28
157455,127.93
158455,127.91
159455,127.83
160455,127.54
161455,127.87
162455,127.98
163455,128.22
164455,127.82
165455,128.06
166455,127.67
167455,128.09
168455,128.2
169455,127.81
170455,127.52
171455,127.99
172455,127.49
173455,127.63
174455,128.07
175455,128.12
176455,127.95
177455,127.87
178455,128.1
179455,128.03
180455,128.23
181455,127.48
182455,127.98
183455,128.09
184455,127.5
185455,127.43
186455,127.95
187455,127.93
188455,128.39
189455,128.04
190455,127.63
191455,127.71
192455,128.26
193455,127.6
194455,127.84
195455,128.03
196455,127.92
197455,127.97
