cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32638, 0, 1, 1, 1, 0, 0
2, 29962, 117, 1, 1, 0.9995, 117, 117
3, 29962, 117, 3, 1, 0.999, 234, 117
4, 29962, 117, 2, 1, 0.998501, 351, 117
5, 30472, 137, 0, 1, 0.998001, 488, 122
6, 29962, 127, 0, 1, 0.997502, 615, 123
7, 30472, 127, 1, 1, 0.997004, 742, 123.667
8, 28677, 137, 0, 1, 0.996505, 879, 125.571
9, 28677, 117, 1, 1, 0.996007, 996, 124.5
10, 29954, 127, 2, 1, 0.995509, 1123, 124.778
11, 29962, 137, 1, 1, 0.995011, 1260, 126
12, 29962, 117, 2, 1, 0.994514, 1377, 125.182
13, 32002, 137, 0, 1, 0.994016, 1514, 126.167
14, 29962, 127, 2, 1, 0.993519, 1641, 126.231
15, 32002, 127, 1, 1, 0.993023, 1768, 126.286
16, 32002, 117, 0, 1, 0.992526, 1885, 125.667
17, 29962, 127, 0, 1, 0.99203, 2012, 125.75
18, 29954, 127, 2, 1, 0.991534, 2139, 125.824
19, 29962, 127, 3, 1, 0.991038, 2266, 125.889
20, 29962, 117, 1, 1, 0.990543, 2383, 125.421
21, 29962, 117, 3, 1, 0.990047, 2500, 125
22, 29962, 117, 1, 1, 0.989552, 2617, 124.619
23, 29962, 117, 0, 1, 0.989058, 2734, 124.273
24, 29954, 127, 0, 1, 0.988563, 2861, 124.391
25, 29962, 127, 3, 1, 0.988069, 2988, 124.5
26, 29962, 117, 0, 1, 0.987575, 3105, 124.2
27, 30472, 137, 1, 1, 0.987081, 3242, 124.692
28, 29189, 127, 1, 1, 0.986587, 3369, 124.778
29, 29699, 137, 1, 1, 0.986094, 3506, 125.214
30, 29699, 117, 0, 1, 0.985601, 3623, 124.931
31, 29699, 117, 2, 1, 0.985108, 3740, 124.667
32, 29706, 137, 1, 1, 0.984616, 3877, 125.065
33, 29706, 117, 2, 1, 0.984123, 3994, 124.812
34, 29196, 137, 1, 1, 0.983631, 4131, 125.182
35, 29189, 127, 2, 1, 0.98314, 4258, 125.235
36, 29189, 117, 2, 1, 0.982648, 4375, 125
37, 29189, 117, 1, 1, 0.982157, 4492, 124.778
38, 29954, 137, 1, 1, 0.981666, 4629, 125.108
39, 29954, 117, 2, 1, 0.981175, 4746, 124.895
40, 29962, 137, 0, 1, 0.980684, 4883, 125.205
41, 29954, 127, 0, 1, 0.980194, 5010, 125.25
42, 29962, 127, 1, 1, 0.979704, 5137, 125.293
43, 29962, 117, 0, 1, 0.979214, 5254, 125.095
44, 29962, 127, 1, 1, 0.978724, 5381, 125.14
45, 29962, 117, 1, 1, 0.978235, 5498, 124.955
46, 29962, 117, 3, 1, 0.977746, 5615, 124.778
47, 29962, 117, 2, 1, 0.977257, 5732, 124.609
48, 29962, 127, 2, 1, 0.976768, 5859, 124.66
49, 29954, 127, 3, 1, 0.97628, 5986, 124.708
50, 24581, 127, 0, 1, 0.975792, 6113, 124.755
51, 24581, 117, 3, 1, 0.975304, 6230, 124.6
52, 16396, 127, 0, 1, 0.974816, 6357, 124.647
53, 10, 127, 3, 1, 0.974329, 6484, 124.692
54, 10, 117, 1, 1, 0.973842, 6601, 124.547
55, 10, 117, 3, 1, 0.973355, 6718, 124.407
56, 10, 117, 1, 1, 0.972868, 6835, 124.273
57, 10, 117, 0, 1, 0.972382, 6952, 124.143
58, 16387, 127, 2, 1, 0.971895, 7079, 124.193
59, 10, 127, 2, 1, 0.971409, 7206, 124.241
60, 16396, 127, 1, 1, 0.970924, 7333, 124.288
61, 24581, 127, 2, 1, 0.970438, 7460, 124.333
62, 24581, 117, 1, 1, 0.969953, 7577, 124.213
63, 29954, 127, 0, 1, 0.969468, 7704, 124.258
64, 29962, 127, 0, 1, 0.968983, 7831, 124.302
65, 29962, 127, 2, 1, 0.968499, 7958, 124.344
66, 29962, 127, 1, 1, 0.968015, 8085, 124.385
67, 29962, 117, 3, 1, 0.967531, 8202, 124.273
68, 29962, 117, 0, 1, 0.967047, 8319, 124.164
69, 29962, 127, 1, 1, 0.966563, 8446, 124.206
70, 29962, 117, 2, 1, 0.96608, 8563, 124.101
71, 29962, 127, 1, 1, 0.965597, 8690, 124.143
72, 29962, 117, 1, 1, 0.965114, 8807, 124.042
73, 29962, 117, 2, 1, 0.964632, 8924, 123.944
74, 29954, 127, 1, 1, 0.964149, 9051, 123.986
75, 29954, 117, 1, 1, 0.963667, 9168, 123.892
76, 29954, 117, 1, 1, 0.963185, 9285, 123.8
77, 29954, 117, 0, 1, 0.962704, 9402, 123.711
78, 29962, 127, 2, 1, 0.962222, 9529, 123.753
79, 29954, 127, 1, 1, 0.961741, 9656, 123.795
80, 29954, 117, 1, 1, 0.96126, 9773, 123.709
81, 29954, 117, 0, 1, 0.96078, 9890, 123.625
82, 29962, 127, 2, 1, 0.960299, 10017, 123.667
83, 29954, 127, 0, 1, 0.959819, 10144, 123.707
84, 29962, 127, 1, 1, 0.959339, 10271, 123.747
85, 29962, 117, 0, 1, 0.95886, 10388, 123.667
86, 29962, 127, 0, 1, 0.95838, 10515, 123.706
87, 29962, 137, 3, 1, 0.957901, 10652, 123.86
88, 29962, 117, 1, 1, 0.957422, 10769, 123.782
89, 29962, 117, 0, 0, 0.956943, 10886, 123.705
90, 29962, 137, 0, 1, 0.956465, 11023, 123.854
91, 29962, 127, 1, 1, 0.955987, 11150, 123.889
92, 29962, 117, 1, 1, 0.955509, 11267, 123.813
93, 29962, 117, 3, 1, 0.955031, 11384, 123.739
94, 29962, 117, 2, 1, 0.954553, 11501, 123.667
95, 29962, 127, 1, 1, 0.954076, 11628, 123.702
96, 29962, 117, 3, 1, 0.953599, 11745, 123.632
97, 29962, 117, 0, 1, 0.953122, 11862, 123.562
98, 29962, 127, 3, 1, 0.952646, 11989, 123.598
99, 29962, 117, 1, 1, 0.952169, 12106, 123.531
100, 29962, 117, 1, 1, 0.951693, 12223, 123.465
101, 29962, 117, 2, 1, 0.951218, 12340, 123.4
102, 29962, 127, 0, 1, 0.950742, 12467, 123.436
103, 29962, 127, 3, 1, 0.950267, 12594, 123.471
104, 29962, 117, 1, 1, 0.949791, 12711, 123.408
105, 29962, 117, 2, 1, 0.949317, 12828, 123.346
106, 29962, 127, 0, 1, 0.948842, 12955, 123.381
107, 29962, 127, 1, 1, 0.948367, 13082, 123.415
108, 29962, 117, 3, 1, 0.947893, 13199, 123.355
109, 29962, 117, 2, 1, 0.947419, 13316, 123.296
110, 29962, 127, 1, 1, 0.946946, 13443, 123.33
111, 29962, 117, 3, 1, 0.946472, 13560, 123.273
112, 29962, 117, 0, 1, 0.945999, 13677, 123.216
113, 29962, 127, 2, 1, 0.945526, 13804, 123.25
114, 29962, 127, 3, 1, 0.945053, 13931, 123.283
115, 29962, 117, 1, 1, 0.944581, 14048, 123.228
116, 29962, 117, 0, 1, 0.944108, 14165, 123.174
117, 29962, 127, 2, 1, 0.943636, 14292, 123.207
118, 29962, 127, 0, 1, 0.943164, 14419, 123.239
119, 29962, 127, 0, 1, 0.942693, 14546, 123.271
