cycle,winavg
330,122.16060606060606
1330,122.77
2330,123.87
3330,124.09
4330,124.77
5330,124.81
6330,124.97
7330,125.39
8330,125.56
9330,125.17
10330,125.53
11330,125.28
12330,125.51
13330,125.55
14330,125.63
15330,125.7
16330,125.98
17330,126.19
18330,125.81
19330,125.66
20330,126.26
21330,126.34
22330,126.28
23330,125.4
24330,125.51
25330,126.3
26330,126.27
27330,126.4
28330,126.03
29330,126.27
30330,126.35
31330,125.99
32330,126.23
33330,126.52
34330,126.76
35330,126.52
36330,126.6
37330,126.62
38330,126.69
39330,126.84
40330,126.65
41330,126.81
42330,126.62
43330,126.34
44330,126.88
45330,126.41
46330,126.58
47330,126.74
48330,126.47
49330,126.63
50330,126.53
51330,126.74
52330,126.84
53330,126.91
54330,126.49
55330,126.29
56330,126.77
57330,126.66
58330,126.71
59330,127.1
60330,126.88
61330,126.88
62330,127.11
63330,126.91
64330,126.72
65330,126.56
66330,127.3
67330,127.11
68330,126.79
69330,127.08
70330,126.98
71330,126.69
72330,126.82
73330,126.98
74330,126.9
75330,127.13
76330,127.07
77330,126.85
78330,126.79
