cycle,winavg
1,0.0
1001,122.97
2001,123.17
3001,123.84
4001,124.62
5001,124.5
6001,125.13
7001,125.13
8001,125.61
9001,126.01
10001,125.71
11001,125.33
12001,125.49
13001,125.93
14001,125.78
15001,125.71
16001,126.39
17001,125.98
18001,126.11
19001,126.04
20001,126.22
21001,126.38
22001,126.39
23001,126.33
24001,126.61
25001,126.65
26001,125.61
27001,126.02
28001,126.55
29001,126.71
30001,126.1
31001,126.26
32001,126.9
33001,126.49
34001,126.74
35001,126.55
36001,126.45
37001,126.56
38001,126.62
39001,126.68
40001,126.56
41001,126.9
42001,126.86
43001,126.86
44001,126.99
45001,126.98
46001,126.96
47001,126.95
48001,126.7
49001,126.73
50001,126.98
51001,126.9
52001,127.1
53001,127.07
54001,127.19
55001,127.21
56001,127.39
57001,127.18
58001,127.26
59001,127.1
60001,127.62
61001,127.13
62001,127.22
63001,127.56
64001,126.89
65001,127.48
66001,127.23
67001,127.48
68001,127.22
69001,127.51
70001,127.28
71001,126.9
72001,127.2
73001,127.05
74001,127.35
75001,127.47
76001,127.8
77001,127.22
78001,127.66
79001,127.25
80001,127.51
81001,127.22
82001,127.42
83001,127.71
84001,127.29
85001,127.6
86001,127.51
87001,127.48
88001,128.09
89001,127.31
90001,127.64
91001,127.3
92001,127.59
93001,127.11
94001,127.37
95001,127.42
96001,127.79
97001,127.49
98001,127.56
99001,127.48
100001,127.71
101001,127.39
102001,127.22
103001,127.5
104001,127.68
105001,127.83
106001,127.98
107001,127.99
108001,127.8
109001,127.62
110001,127.77
111001,127.69
112001,127.93
113001,127.73
114001,127.78
115001,127.56
116001,127.67
117001,127.78
118001,127.67
119001,127.59
120001,127.67
121001,127.91
122001,127.67
123001,127.25
124001,127.41
125001,127.77
126001,127.34
127001,127.29
128001,127.68
129001,128.0
130001,127.76
131001,127.67
132001,127.64
133001,128.34
134001,127.6
135001,128.05
136001,127.67
137001,128.01
138001,127.37
139001,127.55
140001,128.16
141001,127.23
142001,127.87
143001,127.74
144001,127.3
145001,127.64
146001,127.63
147001,127.76
148001,128.42
149001,127.76
150001,127.94
151001,127.88
152001,127.95
153001,128.21
154001,127.94
155001,127.55
156001,127.95
157001,127.37
158001,128.18
159001,128.14
160001,127.84
161001,127.93
162001,127.64
163001,127.61
164001,127.89
165001,127.89
166001,127.97
167001,128.41
168001,127.54
169001,127.85
170001,127.86
171001,127.59
172001,127.97
173001,128.11
174001,127.58
175001,127.8
176001,127.69
177001,127.91
178001,127.72
179001,127.66
180001,127.68
181001,127.83
182001,127.6
183001,127.82
184001,127.99
185001,128.24
186001,127.5
187001,127.44
188001,128.17
189001,128.09
190001,128.25
191001,127.91
192001,127.85
193001,127.98
194001,127.87
195001,127.86
196001,127.62
197001,128.1
198001,128.05
199001,127.92
200001,128.32
