cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32516, 0, 0, 0, 0, 0, 0
2, 30472, 127, 3, 0, 0, 127, 127
3, 30472, 117, 2, 0, 0, 244, 122
4, 29962, 127, 3, 0, 0, 371, 123.667
5, 29962, 117, 2, 0, 0, 488, 122
6, 30472, 137, 0, 0, 0, 625, 125
7, 29962, 127, 2, 0, 0, 752, 125.333
8, 30472, 127, 1, 0, 0, 879, 125.571
9, 29189, 137, 2, 0, 0, 1016, 127
10, 29189, 117, 3, 0, 0, 1133, 125.889
11, 30472, 127, 1, 0, 0, 1260, 126
12, 29189, 127, 3, 0, 0, 1387, 126.091
13, 30472, 127, 0, 0, 0, 1514, 126.167
14, 29962, 127, 3, 0, 0, 1641, 126.231
15, 29962, 117, 3, 0, 0, 1758, 125.571
16, 29962, 117, 3, 0, 0, 1875, 125
17, 29962, 117, 3, 0, 0, 1992, 124.5
18, 29962, 117, 3, 0, 0, 2109, 124.059
19, 29962, 117, 0, 0, 0, 2226, 123.667
20, 30472, 127, 3, 0, 0, 2353, 123.842
21, 30472, 117, 2, 0, 0, 2470, 123.5
22, 29962, 127, 1, 0, 0, 2597, 123.667
23, 29962, 117, 3, 0, 0, 2714, 123.364
24, 29962, 117, 3, 0, 0, 2831, 123.087
25, 29962, 117, 0, 0, 0, 2948, 122.833
26, 30472, 127, 1, 0, 0, 3075, 123
27, 28677, 137, 2, 0, 0, 3212, 123.538
28, 28677, 117, 0, 0, 0, 3329, 123.296
29, 28677, 117, 3, 0, 0, 3446, 123.071
30, 29960, 127, 0, 0, 0, 3573, 123.207
31, 29962, 137, 3, 0, 0, 3710, 123.667
32, 29962, 117, 2, 0, 0, 3827, 123.452
33, 25864, 127, 1, 0, 0, 3954, 123.562
34, 28677, 127, 1, 0, 0, 4081, 123.667
35, 29954, 127, 3, 0, 0, 4208, 123.765
36, 28677, 127, 1, 0, 0, 4335, 123.857
37, 29954, 127, 3, 0, 0, 4462, 123.944
38, 28677, 127, 3, 0, 0, 4589, 124.027
39, 25864, 127, 0, 0, 0, 4716, 124.105
40, 29962, 127, 2, 0, 0, 4843, 124.179
41, 25864, 127, 2, 0, 0, 4970, 124.25
42, 29962, 127, 3, 0, 0, 5097, 124.317
43, 29962, 117, 2, 0, 0, 5214, 124.143
44, 30472, 127, 2, 0, 0, 5341, 124.209
45, 29962, 137, 0, 0, 0, 5478, 124.5
46, 30472, 127, 1, 0, 0, 5605, 124.556
47, 29189, 127, 1, 0, 0, 5732, 124.609
48, 29954, 137, 0, 0, 0, 5869, 124.872
49, 25866, 137, 3, 0, 0, 6006, 125.125
50, 25866, 117, 3, 0, 0, 6123, 124.959
51, 25866, 117, 3, 0, 0, 6240, 124.8
52, 25866, 117, 0, 0, 0, 6357, 124.647
53, 29954, 127, 2, 0, 0, 6484, 124.692
54, 25866, 127, 2, 0, 0, 6611, 124.736
55, 29954, 127, 2, 0, 0, 6738, 124.778
56, 29962, 127, 3, 0, 0, 6865, 124.818
57, 29962, 117, 1, 0, 0, 6982, 124.679
58, 29962, 117, 1, 0, 0, 7099, 124.544
59, 29962, 117, 0, 0, 0, 7216, 124.414
60, 29954, 127, 3, 0, 0, 7343, 124.458
61, 24581, 127, 3, 0, 0, 7470, 124.5
62, 29960, 127, 0, 0, 0, 7597, 124.541
63, 25866, 127, 1, 0, 0, 7724, 124.581
64, 25866, 117, 2, 0, 0, 7841, 124.46
65, 29960, 127, 1, 0, 0, 7968, 124.5
66, 24581, 127, 1, 0, 0, 8095, 124.538
67, 29954, 127, 0, 0, 0, 8222, 124.576
68, 25866, 127, 3, 0, 0, 8349, 124.612
69, 25866, 117, 0, 0, 0, 8466, 124.5
70, 29954, 127, 1, 0, 0, 8593, 124.536
71, 29954, 117, 2, 0, 0, 8710, 124.429
72, 25866, 127, 3, 0, 0, 8837, 124.465
73, 25866, 117, 2, 0, 0, 8954, 124.361
74, 29954, 127, 0, 0, 0, 9081, 124.397
75, 25866, 127, 3, 0, 0, 9208, 124.432
76, 25866, 117, 2, 0, 0, 9325, 124.333
77, 29954, 127, 1, 0, 0, 9452, 124.368
78, 29954, 117, 1, 0, 0, 9569, 124.273
79, 29954, 117, 2, 0, 0, 9686, 124.179
80, 29962, 127, 3, 0, 0, 9813, 124.215
81, 29962, 117, 2, 0, 0, 9930, 124.125
82, 30472, 137, 1, 0, 0, 10067, 124.284
83, 29189, 127, 2, 0, 0, 10194, 124.317
84, 29189, 117, 0, 0, 0, 10311, 124.229
85, 29189, 117, 1, 0, 0, 10428, 124.143
86, 28934, 137, 3, 0, 0, 10565, 124.294
87, 24581, 127, 1, 0, 0, 10692, 124.326
88, 28934, 127, 2, 0, 0, 10819, 124.356
89, 28934, 117, 1, 0, 0, 10936, 124.273
90, 28934, 117, 0, 0, 0, 11053, 124.191
91, 28938, 127, 3, 0, 0, 11180, 124.222
92, 28938, 117, 3, 0, 0, 11297, 124.143
93, 28938, 117, 2, 0, 0, 11414, 124.065
94, 28934, 127, 2, 0, 0, 11541, 124.097
95, 28934, 117, 3, 0, 0, 11658, 124.021
96, 24581, 127, 3, 0, 0, 11785, 124.053
97, 29960, 127, 0, 0, 0, 11912, 124.083
98, 25866, 127, 1, 0, 0, 12039, 124.113
99, 25866, 117, 0, 0, 0, 12156, 124.041
100, 17666, 127, 3, 0, 0, 12283, 124.071
101, 24581, 127, 0, 0, 0, 12410, 124.1
102, 24581, 117, 2, 0, 0, 12527, 124.03
103, 24581, 117, 1, 0, 0, 12644, 123.961
104, 17666, 127, 3, 0, 0, 12771, 123.99
105, 24581, 127, 3, 0, 0, 12898, 124.019
106, 29960, 127, 2, 0, 0, 13025, 124.048
107, 29962, 127, 1, 0, 0, 13152, 124.075
108, 29962, 117, 3, 0, 0, 13269, 124.009
109, 29962, 117, 2, 0, 0, 13386, 123.944
110, 27906, 137, 1, 0, 0, 13523, 124.064
