cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32632, 0, 0, 0, 0.05, 0, 0
2, 30472, 127, 3, 0, 0.05, 127, 127
3, 30472, 117, 2, 0, 0.05, 244, 122
4, 29962, 127, 3, 0, 0.05, 371, 123.667
5, 29962, 117, 2, 0, 0.05, 488, 122
6, 30472, 137, 0, 0, 0.05, 625, 125
7, 29962, 127, 2, 0, 0.05, 752, 125.333
8, 30472, 127, 1, 0, 0.05, 879, 125.571
9, 29189, 137, 2, 0, 0.05, 1016, 127
10, 29189, 117, 3, 0, 0.05, 1133, 125.889
11, 30472, 127, 1, 0, 0.05, 1260, 126
12, 29189, 127, 1, 1, 0.05, 1387, 126.091
13, 29954, 137, 3, 0, 0.05, 1524, 127
14, 28677, 127, 2, 0, 0.05, 1651, 127
15, 28677, 117, 0, 0, 0.05, 1768, 126.286
16, 28677, 117, 1, 0, 0.05, 1885, 125.667
17, 29954, 127, 2, 0, 0.05, 2012, 125.75
18, 29962, 127, 1, 0, 0.05, 2139, 125.824
19, 29962, 117, 3, 0, 0.05, 2256, 125.333
20, 29962, 117, 1, 0, 0.05, 2373, 124.895
21, 29962, 117, 2, 0, 0.05, 2490, 124.5
22, 30472, 137, 1, 0, 0.05, 2627, 125.095
23, 29189, 127, 0, 0, 0.05, 2754, 125.182
24, 29189, 117, 3, 0, 0.05, 2871, 124.826
25, 30472, 127, 3, 0, 0.05, 2998, 124.917
26, 30472, 117, 2, 0, 0.05, 3115, 124.6
27, 29962, 127, 1, 0, 0.05, 3242, 124.692
28, 29962, 117, 0, 0, 0.05, 3359, 124.407
29, 30472, 127, 0, 1, 0.05, 3486, 124.5
30, 29962, 127, 3, 0, 0.05, 3613, 124.586
31, 29962, 117, 0, 0, 0.05, 3730, 124.333
32, 29954, 127, 0, 0, 0.05, 3857, 124.419
33, 29962, 137, 2, 0, 0.05, 3994, 124.812
34, 25858, 127, 3, 0, 0.05, 4121, 124.879
35, 28677, 127, 1, 0, 0.05, 4248, 124.941
36, 25858, 127, 1, 0, 0.05, 4375, 125
37, 25858, 117, 1, 0, 0.05, 4492, 124.778
38, 25858, 117, 1, 0, 0.05, 4609, 124.568
39, 25858, 117, 0, 0, 0.05, 4726, 124.368
40, 29962, 127, 1, 1, 0.05, 4853, 124.436
41, 29962, 117, 3, 0, 0.05, 4970, 124.25
42, 29962, 117, 0, 0, 0.05, 5087, 124.073
43, 32002, 127, 0, 0, 0.05, 5214, 124.143
44, 29962, 127, 2, 0, 0.05, 5341, 124.209
45, 32002, 127, 3, 0, 0.05, 5468, 124.273
46, 28677, 137, 1, 0, 0.05, 5605, 124.556
47, 29954, 127, 1, 0, 0.05, 5732, 124.609
48, 29954, 117, 0, 1, 0.05, 5849, 124.447
49, 29962, 127, 1, 0, 0.05, 5976, 124.5
50, 29962, 117, 0, 1, 0.05, 6093, 124.347
51, 30472, 137, 0, 1, 0.05, 6230, 124.6
52, 29962, 127, 2, 0, 0.05, 6357, 124.647
53, 30472, 127, 1, 0, 0.05, 6484, 124.692
54, 29189, 127, 3, 1, 0.05, 6611, 124.736
55, 30472, 127, 3, 0, 0.05, 6738, 124.778
56, 30472, 117, 2, 0, 0.05, 6855, 124.636
57, 25866, 127, 1, 0, 0.05, 6982, 124.679
58, 25866, 117, 0, 0, 0.05, 7099, 124.544
59, 30472, 127, 3, 0, 0.05, 7226, 124.586
60, 30472, 117, 0, 0, 0.05, 7343, 124.458
61, 29962, 127, 2, 0, 0.05, 7470, 124.5
62, 30472, 127, 3, 0, 0.05, 7597, 124.541
63, 30472, 117, 3, 0, 0.05, 7714, 124.419
64, 30472, 117, 3, 0, 0.05, 7831, 124.302
65, 30472, 117, 1, 0, 0.05, 7948, 124.188
66, 29189, 127, 3, 0, 0.05, 8075, 124.231
67, 30472, 127, 2, 0, 0.05, 8202, 124.273
68, 25866, 127, 1, 0, 0.05, 8329, 124.313
69, 25866, 117, 3, 0, 0.05, 8446, 124.206
70, 25866, 117, 2, 0, 0.05, 8563, 124.101
71, 25858, 127, 2, 0, 0.05, 8690, 124.143
72, 17674, 127, 3, 0, 0.05, 8817, 124.183
73, 17674, 117, 1, 0, 0.05, 8934, 124.083
74, 17674, 117, 3, 0, 0.05, 9051, 123.986
75, 17674, 117, 2, 0, 0.05, 9168, 123.892
76, 25858, 127, 1, 0, 0.05, 9295, 123.933
77, 25858, 117, 1, 0, 0.05, 9412, 123.842
78, 25858, 117, 2, 0, 0.05, 9529, 123.753
79, 25866, 127, 1, 0, 0.05, 9656, 123.795
80, 25866, 117, 0, 0, 0.05, 9773, 123.709
81, 25858, 127, 1, 0, 0.05, 9900, 123.75
82, 25858, 117, 2, 0, 0.05, 10017, 123.667
83, 25866, 127, 2, 1, 0.05, 10144, 123.707
84, 30472, 127, 2, 0, 0.05, 10271, 123.747
85, 29962, 127, 3, 0, 0.05, 10398, 123.786
86, 29962, 117, 2, 0, 0.05, 10515, 123.706
87, 30980, 137, 2, 0, 0.05, 10652, 123.86
88, 30980, 117, 2, 0, 0.05, 10769, 123.782
89, 30980, 117, 3, 1, 0.05, 10886, 123.705
90, 30725, 137, 3, 0, 0.05, 11023, 123.854
91, 32000, 127, 1, 0, 0.05, 11150, 123.889
92, 30725, 127, 2, 0, 0.05, 11277, 123.923
93, 30725, 117, 1, 0, 0.05, 11394, 123.848
94, 26884, 127, 0, 0, 0.05, 11521, 123.882
95, 24842, 127, 0, 0, 0.05, 11648, 123.915
96, 29448, 127, 3, 0, 0.05, 11775, 123.947
97, 29448, 117, 3, 0, 0.05, 11892, 123.875
98, 29448, 117, 2, 0, 0.05, 12009, 123.804
99, 24842, 127, 0, 0, 0.05, 12136, 123.837
100, 29448, 127, 1, 0, 0.05, 12263, 123.869
101, 29189, 127, 2, 0, 0.05, 12390, 123.9
102, 29189, 117, 0, 0, 0.05, 12507, 123.832
103, 29189, 117, 1, 0, 0.05, 12624, 123.765
104, 28934, 137, 1, 1, 0.05, 12761, 123.893
105, 28934, 117, 2, 0, 0.05, 12878, 123.827
106, 28934, 117, 3, 0, 0.05, 12995, 123.762
107, 24581, 127, 3, 0, 0.05, 13122, 123.792
108, 16648, 127, 3, 0, 0.05, 13249, 123.822
109, 16648, 117, 2, 0, 0.05, 13366, 123.759
110, 16650, 127, 3, 0, 0.05, 13493, 123.789
111, 16650, 117, 2, 0, 0.05, 13610, 123.727
112, 26884, 127, 0, 0, 0.05, 13737, 123.757
113, 16650, 127, 3, 0, 0.05, 13864, 123.786
114, 16650, 117, 1, 1, 0.05, 13981, 123.726
115, 16650, 117, 2, 0, 0.05, 14098, 123.667
116, 26884, 127, 0, 0, 0.05, 14225, 123.696
117, 16650, 127, 1, 0, 0.05, 14352, 123.724
118, 16650, 117, 3, 0, 0.05, 14469, 123.667
119, 16650, 117, 1, 0, 0.05, 14586, 123.61
120, 16650, 117, 1, 0, 0.05, 14703, 123.555
121, 16650, 117, 3, 0, 0.05, 14820, 123.5
