cycle,winavg
1,0.0
1001,122.37
2001,123.09
3001,123.13
4001,123.44
5001,123.97
6001,124.29
7001,124.14
8001,124.49
9001,124.5
10001,124.12
11001,124.53
12001,124.4
13001,124.1
14001,124.75
15001,124.93
16001,124.82
17001,124.74
18001,124.59
19001,124.61
20001,124.86
21001,125.03
22001,124.92
23001,125.27
24001,125.13
25001,125.1
26001,125.14
27001,125.68
28001,125.28
29001,125.74
30001,125.07
31001,125.53
32001,125.45
33001,125.51
34001,125.78
35001,125.77
36001,125.0
37001,125.56
38001,125.47
39001,125.05
40001,125.27
41001,125.33
42001,125.29
43001,125.88
44001,125.52
45001,125.64
46001,125.74
47001,125.68
48001,125.32
49001,125.51
50001,125.33
51001,125.77
52001,125.82
53001,125.57
54001,125.76
55001,125.85
56001,125.8
57001,125.82
58001,125.6
59001,125.64
60001,126.21
61001,125.81
62001,125.8
63001,125.92
64001,125.67
65001,125.82
66001,125.96
67001,125.86
68001,125.68
69001,126.25
70001,125.87
71001,125.69
72001,125.85
73001,125.77
74001,126.23
75001,125.88
76001,125.98
77001,126.19
78001,126.23
79001,125.76
80001,125.92
81001,126.08
82001,126.17
83001,125.81
84001,125.9
85001,125.84
86001,126.1
87001,126.08
88001,126.08
89001,126.29
90001,126.01
91001,125.88
92001,125.66
93001,125.62
94001,126.18
95001,126.5
96001,125.91
97001,126.51
98001,126.04
99001,126.27
100001,125.99
