cycle, observation, reward, action, explored, explore_rate, total reward, average reward
10, 0, 1, 7, 1, 0.630249, 5, 0.555556
20, 131136, 2, 7, 0, 0.377354, 22, 1.15789
30, 164193, 2, 3, 0, 0.225936, 36, 1.24138
40, 65664, 0, 0, 0, 0.135276, 47, 1.20513
50, 140421, 2, 7, 0, 0.0809947, 61, 1.2449
60, 0, 4, 8, 0, 0.0484945, 75, 1.27119
70, 147456, 0, 8, 0, 0.0290355, 87, 1.26087
80, 169104, 0, 2, 0, 0.0173846, 96, 1.21519
90, 169113, 0, 3, 0, 0.0104088, 98, 1.10112
100, 132486, 0, 1, 0, 0.00623214, 113, 1.14141
110, 65538, 2, 5, 0, 0.00373141, 130, 1.19266
120, 169488, 2, 4, 0, 0.00223413, 145, 1.21849
130, 167952, 0, 1, 0, 0.00133766, 155, 1.20155
140, 0, 1, 4, 0, 0.000800905, 170, 1.22302
150, 83970, 2, 1, 0, 0.000479532, 189, 1.26846
160, 71334, 0, 8, 0, 0.000287113, 203, 1.27673
170, 104601, 0, 3, 0, 0.000171905, 215, 1.27219
180, 132228, 0, 4, 0, 0.000102926, 223, 1.24581
190, 135552, 0, 7, 0, 6.16256e-05, 235, 1.24339
200, 170373, 0, 8, 0, 3.68975e-05, 239, 1.20101
210, 136836, 2, 1, 0, 2.20919e-05, 249, 1.19139
220, 153252, 0, 7, 0, 1.32272e-05, 251, 1.14612
230, 153252, 0, 4, 0, 7.91964e-06, 251, 1.09607
240, 148584, 2, 6, 0, 4.74178e-06, 260, 1.08787
250, 149097, 0, 8, 0, 2.83908e-06, 262, 1.05221
260, 149097, 0, 2, 0, 1.69986e-06, 262, 1.01158
270, 0, 4, 7, 0, 1.01777e-06, 284, 1.05576
280, 152208, 2, 0, 0, 6.09377e-07, 297, 1.06452
290, 131328, 0, 8, 0, 3.64856e-07, 307, 1.06228
300, 151977, 0, 8, 0, 2.18453e-07, 313, 1.04682
310, 0, 3, 7, 0, 1.30796e-07, 327, 1.05825
320, 147462, 2, 8, 0, 7.83123e-08, 338, 1.05956
330, 131664, 2, 6, 0, 4.68885e-08, 353, 1.07295
340, 154200, 0, 4, 0, 2.80739e-08, 357, 1.0531
350, 139857, 0, 0, 0, 1.68089e-08, 367, 1.05158
360, 168357, 0, 1, 0, 1.00641e-08, 376, 1.04735
370, 168357, 0, 1, 0, 6.02574e-09, 376, 1.01897
380, 0, 4, 4, 0, 3.60783e-09, 389, 1.02639
390, 169476, 0, 3, 0, 2.16014e-09, 403, 1.03599
400, 169572, 0, 0, 0, 1.29336e-09, 405, 1.01504
410, 169572, 0, 2, 0, 7.74381e-10, 405, 0.99022
420, 0, 4, 8, 0, 4.6365e-10, 409, 0.976134
430, 139353, 0, 4, 0, 2.77605e-10, 425, 0.990676
440, 131601, 0, 1, 0, 1.66212e-10, 434, 0.98861
450, 136728, 0, 3, 0, 9.95173e-11, 446, 0.993318
460, 132198, 0, 4, 0, 5.95847e-11, 453, 0.986928
470, 135168, 2, 4, 0, 3.56756e-11, 470, 1.00213
480, 147489, 2, 3, 0, 2.13603e-11, 482, 1.00626
490, 152745, 0, 5, 0, 1.27892e-11, 486, 0.993865
500, 147474, 2, 8, 0, 7.65736e-12, 501, 1.00401
510, 131088, 2, 6, 0, 4.58474e-12, 511, 1.00393
520, 99876, 2, 0, 0, 2.74506e-12, 522, 1.00578
530, 104100, 0, 8, 0, 1.64357e-12, 524, 0.990548
540, 73737, 2, 3, 0, 9.84064e-13, 539, 1
550, 132096, 2, 5, 0, 5.89195e-13, 554, 1.00911
560, 164937, 0, 3, 0, 3.52773e-13, 573, 1.02504
570, 169473, 0, 2, 0, 2.11218e-13, 583, 1.0246
580, 132096, 2, 3, 0, 1.26464e-13, 599, 1.03454
590, 0, 1, 2, 0, 7.57188e-14, 616, 1.04584
600, 152742, 0, 7, 0, 4.53356e-14, 624, 1.04174
610, 135201, 2, 1, 0, 2.71441e-14, 639, 1.04926
620, 140865, 2, 7, 0, 1.62522e-14, 653, 1.05493
630, 132168, 0, 5, 0, 9.73078e-15, 665, 1.05723
640, 0, 3, 2, 0, 5.82618e-15, 684, 1.07042
650, 169380, 0, 6, 0, 3.48835e-15, 692, 1.06626
660, 168996, 2, 4, 0, 2.0886e-15, 701, 1.06373
670, 169110, 2, 5, 0, 1.25052e-15, 714, 1.06726
680, 151713, 0, 7, 0, 7.48735e-16, 724, 1.06627
690, 153732, 2, 2, 0, 4.48295e-16, 741, 1.07547
700, 153750, 0, 5, 0, 2.68411e-16, 743, 1.06295
710, 0, 1, 1, 0, 1.60708e-16, 752, 1.06065
720, 132096, 2, 5, 0, 9.62215e-17, 761, 1.05841
730, 131076, 2, 7, 0, 5.76114e-17, 776, 1.06447
740, 0, 4, 7, 0, 3.44941e-17, 798, 1.07984
750, 132096, 2, 5, 0, 2.06529e-17, 811, 1.08278
760, 165477, 2, 4, 0, 1.23656e-17, 822, 1.083
770, 165477, 0, 8, 0, 7.40376e-18, 822, 1.06892
780, 157317, 2, 7, 0, 4.43291e-18, 834, 1.0706
790, 157317, 0, 6, 0, 2.65414e-18, 834, 1.05703
800, 131217, 0, 7, 0, 1.58913e-18, 849, 1.06258
810, 165381, 0, 2, 0, 9.51473e-19, 864, 1.06799
820, 147456, 2, 4, 0, 5.69682e-19, 884, 1.07937
830, 165393, 0, 8, 0, 3.4109e-19, 895, 1.07961
840, 154113, 0, 1, 0, 2.04223e-19, 905, 1.07867
850, 0, 1, 3, 0, 1.22276e-19, 913, 1.07538
860, 164889, 2, 2, 0, 7.32111e-20, 929, 1.08149
870, 169224, 2, 1, 0, 4.38342e-20, 936, 1.0771
880, 169224, 0, 4, 0, 2.62451e-20, 936, 1.06485
890, 136230, 2, 2, 0, 1.57139e-20, 946, 1.06412
900, 0, 4, 7, 0, 9.40852e-21, 955, 1.06229
910, 131076, 0, 6, 0, 5.63323e-21, 969, 1.06601
920, 153249, 0, 7, 0, 3.37282e-21, 982, 1.06855
930, 148518, 0, 0, 0, 2.01943e-21, 991, 1.06674
940, 0, 4, 3, 0, 1.20911e-21, 1004, 1.06922
950, 131073, 2, 0, 0, 7.23938e-22, 1016, 1.0706
960, 153249, 0, 7, 0, 4.33448e-22, 1022, 1.06569
970, 131076, 0, 7, 0, 2.59522e-22, 1034, 1.06708
980, 0, 1, 1, 0, 1.55385e-22, 1047, 1.06946
990, 157782, 0, 5, 0, 9.30348e-23, 1055, 1.06673
1000, 0, 4, 7, 0, 5.57034e-23, 1069, 1.07007
1010, 148512, 0, 1, 0, 3.33517e-23, 1083, 1.07334
1020, 156969, 0, 4, 0, 1.99689e-23, 1087, 1.06673
1030, 132114, 0, 3, 0, 1.19561e-23, 1095, 1.06414
1040, 0, 3, 0, 0, 7.15856e-24, 1107, 1.06545
1050, 103593, 0, 7, 0, 4.2861e-24, 1115, 1.06292
1060, 103593, 0, 4, 0, 2.56624e-24, 1115, 1.05288
1070, 132096, 2, 6, 0, 1.53651e-24, 1138, 1.06455
1080, 140709, 2, 2, 0, 9.19962e-25, 1154, 1.06951
1090, 167937, 0, 1, 0, 5.50816e-25, 1162, 1.06703
1100, 132390, 0, 8, 0, 3.29794e-25, 1174, 1.06824
1110, 136614, 0, 1, 0, 1.9746e-25, 1176, 1.06041
1120, 132228, 0, 1, 0, 1.18226e-25, 1192, 1.06524
1130, 153252, 0, 4, 0, 7.07865e-26, 1196, 1.05934
1140, 148992, 2, 0, 0, 4.23825e-26, 1213, 1.06497
1150, 131076, 0, 5, 0, 2.5376e-26, 1225, 1.06614
1160, 164436, 0, 4, 0, 1.51935e-26, 1234, 1.06471
1170, 0, 1, 7, 0, 9.09692e-27, 1235, 1.05646
1180, 139284, 0, 1, 0, 5.44666e-27, 1246, 1.05683
