cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 0, 0, 1, 1, 0.9025, 0, 0
4, 0, 2, 2, 1, 0.857375, 2, 0.666667
5, 2, 1, 2, 1, 0.814506, 3, 0.75
6, 1, 2, 2, 0, 0.773781, 5, 1
7, 1, 2, 1, 1, 0.735092, 7, 1.16667
8, 2, 0, 2, 1, 0.698337, 7, 1
9, 1, 2, 2, 1, 0.66342, 9, 1.125
10, 0, 0, 0, 1, 0.630249, 9, 1
11, 0, 1, 2, 0, 0.598737, 10, 1
12, 0, 0, 1, 1, 0.5688, 10, 0.909091
13, 0, 2, 2, 1, 0.54036, 12, 1
14, 1, 2, 2, 0, 0.513342, 14, 1.07692
15, 0, 0, 1, 1, 0.487675, 14, 1
16, 0, 2, 0, 0, 0.463291, 16, 1.06667
17, 1, 0, 1, 1, 0.440127, 16, 1
18, 2, 0, 2, 0, 0.41812, 16, 0.941176
19, 2, 1, 2, 1, 0.397214, 17, 0.944444
20, 0, 0, 0, 1, 0.377354, 17, 0.894737
21, 0, 1, 1, 0, 0.358486, 18, 0.9
22, 0, 2, 2, 0, 0.340562, 20, 0.952381
23, 2, 1, 1, 1, 0.323534, 21, 0.954545
24, 0, 2, 0, 1, 0.307357, 23, 1
25, 0, 1, 1, 0, 0.291989, 24, 1
26, 0, 2, 2, 1, 0.27739, 26, 1.04
27, 1, 2, 2, 0, 0.26352, 28, 1.07692
28, 0, 0, 1, 0, 0.250344, 28, 1.03704
29, 0, 2, 1, 1, 0.237827, 30, 1.07143
30, 1, 1, 0, 1, 0.225936, 31, 1.06897
31, 1, 0, 1, 0, 0.214639, 31, 1.03333
32, 0, 2, 2, 1, 0.203907, 33, 1.06452
33, 0, 0, 1, 0, 0.193711, 33, 1.03125
34, 0, 2, 0, 0, 0.184026, 35, 1.06061
35, 0, 1, 1, 0, 0.174825, 36, 1.05882
36, 1, 1, 1, 0, 0.166083, 37, 1.05714
37, 0, 2, 0, 0, 0.157779, 39, 1.08333
38, 1, 0, 1, 0, 0.14989, 39, 1.05405
39, 2, 0, 1, 0, 0.142396, 39, 1.02632
40, 2, 0, 1, 0, 0.135276, 39, 1
41, 2, 0, 2, 0, 0.128512, 39, 0.975
42, 2, 1, 1, 0, 0.122087, 40, 0.97561
43, 0, 2, 0, 0, 0.115982, 42, 1
44, 2, 2, 0, 0, 0.110183, 44, 1.02326
45, 1, 0, 1, 0, 0.104674, 44, 1
46, 1, 1, 1, 0, 0.0994403, 45, 1
47, 1, 1, 1, 0, 0.0944682, 46, 1
48, 1, 1, 2, 0, 0.0897448, 47, 1
49, 0, 0, 1, 0, 0.0852576, 47, 0.979167
50, 0, 2, 0, 0, 0.0809947, 49, 1
51, 0, 1, 1, 0, 0.076945, 50, 1
52, 1, 1, 1, 0, 0.0730977, 51, 1
53, 1, 1, 1, 0, 0.0694428, 52, 1
54, 0, 2, 2, 1, 0.0659707, 54, 1.01887
55, 2, 1, 2, 1, 0.0626722, 55, 1.01852
56, 2, 1, 1, 0, 0.0595386, 56, 1.01818
57, 0, 2, 1, 0, 0.0565616, 58, 1.03571
58, 2, 0, 1, 0, 0.0537335, 58, 1.01754
59, 2, 0, 1, 0, 0.0510469, 58, 1
60, 1, 1, 1, 0, 0.0484945, 59, 1
61, 0, 2, 0, 0, 0.0460698, 61, 1.01667
62, 0, 1, 2, 0, 0.0437663, 62, 1.01639
63, 1, 2, 0, 0, 0.041578, 64, 1.03226
64, 2, 2, 0, 0, 0.0394991, 66, 1.04762
65, 0, 1, 1, 0, 0.0375241, 67, 1.04688
66, 0, 2, 0, 0, 0.0356479, 69, 1.06154
67, 1, 0, 1, 0, 0.0338655, 69, 1.04545
68, 0, 2, 0, 0, 0.0321723, 71, 1.0597
69, 0, 1, 1, 0, 0.0305636, 72, 1.05882
70, 0, 2, 0, 0, 0.0290355, 74, 1.07246
71, 2, 2, 0, 0, 0.0275837, 76, 1.08571
72, 1, 0, 1, 0, 0.0262045, 76, 1.07042
73, 0, 2, 0, 0, 0.0248943, 78, 1.08333
74, 1, 0, 1, 0, 0.0236496, 78, 1.06849
75, 0, 2, 0, 0, 0.0224671, 80, 1.08108
76, 0, 1, 2, 0, 0.0213437, 81, 1.08
77, 0, 0, 1, 0, 0.0202765, 81, 1.06579
78, 0, 2, 0, 0, 0.0192627, 83, 1.07792
79, 2, 2, 0, 0, 0.0182996, 85, 1.08974
80, 1, 0, 1, 0, 0.0173846, 85, 1.07595
81, 2, 0, 1, 0, 0.0165154, 85, 1.0625
82, 1, 1, 2, 0, 0.0156896, 86, 1.06173
83, 0, 0, 0, 1, 0.0149051, 86, 1.04878
84, 0, 1, 1, 0, 0.0141599, 87, 1.04819
85, 1, 1, 2, 0, 0.0134519, 88, 1.04762
86, 2, 1, 1, 0, 0.0127793, 89, 1.04706
87, 0, 2, 0, 0, 0.0121403, 91, 1.05814
