cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 1, 2, 2, 1, 0.9025, 2, 1
4, 1, 2, 2, 0, 0.857375, 4, 1.33333
5, 1, 2, 2, 1, 0.814506, 6, 1.5
6, 0, 0, 0, 1, 0.773781, 6, 1.2
7, 0, 1, 1, 0, 0.735092, 7, 1.16667
8, 0, 2, 2, 1, 0.698337, 9, 1.28571
9, 1, 2, 1, 1, 0.66342, 11, 1.375
10, 1, 1, 0, 1, 0.630249, 12, 1.33333
11, 1, 0, 0, 1, 0.598737, 12, 1.2
12, 1, 0, 2, 0, 0.5688, 12, 1.09091
13, 2, 1, 2, 1, 0.54036, 13, 1.08333
14, 0, 0, 2, 0, 0.513342, 13, 1
15, 0, 0, 2, 1, 0.487675, 13, 0.928571
16, 0, 0, 2, 0, 0.463291, 13, 0.866667
17, 0, 0, 2, 0, 0.440127, 13, 0.8125
18, 0, 0, 2, 1, 0.41812, 13, 0.764706
19, 0, 0, 0, 0, 0.397214, 13, 0.722222
20, 0, 1, 0, 1, 0.377354, 14, 0.736842
21, 2, 2, 2, 0, 0.358486, 16, 0.8
22, 1, 2, 0, 1, 0.340562, 18, 0.857143
23, 2, 2, 2, 0, 0.323534, 20, 0.909091
24, 1, 2, 2, 0, 0.307357, 22, 0.956522
25, 0, 0, 0, 0, 0.291989, 22, 0.916667
26, 0, 1, 2, 1, 0.27739, 23, 0.92
27, 2, 1, 2, 0, 0.26352, 24, 0.923077
28, 1, 2, 2, 0, 0.250344, 26, 0.962963
29, 2, 1, 2, 0, 0.237827, 27, 0.964286
30, 2, 1, 2, 0, 0.225936, 28, 0.965517
31, 1, 2, 2, 0, 0.214639, 30, 1
32, 0, 0, 0, 0, 0.203907, 30, 0.967742
33, 0, 1, 0, 0, 0.193711, 31, 0.96875
34, 0, 1, 0, 0, 0.184026, 32, 0.969697
35, 2, 2, 2, 0, 0.174825, 34, 1
36, 0, 0, 0, 0, 0.166083, 34, 0.971429
37, 0, 1, 0, 0, 0.157779, 35, 0.972222
38, 0, 1, 0, 0, 0.14989, 36, 0.972973
39, 2, 2, 1, 0, 0.142396, 38, 1
40, 0, 2, 0, 0, 0.135276, 40, 1.02564
41, 1, 0, 2, 0, 0.128512, 40, 1
42, 1, 2, 1, 0, 0.122087, 42, 1.02439
43, 2, 0, 2, 0, 0.115982, 42, 1
44, 1, 2, 0, 0, 0.110183, 44, 1.02326
45, 1, 0, 2, 0, 0.104674, 44, 1
46, 0, 0, 0, 0, 0.0994403, 44, 0.977778
47, 0, 1, 0, 0, 0.0944682, 45, 0.978261
48, 0, 1, 2, 0, 0.0897448, 46, 0.978723
49, 0, 0, 0, 0, 0.0852576, 46, 0.958333
50, 0, 1, 0, 0, 0.0809947, 47, 0.959184
51, 1, 0, 2, 0, 0.076945, 47, 0.94
52, 2, 1, 2, 0, 0.0730977, 48, 0.941176
53, 1, 2, 2, 0, 0.0694428, 50, 0.961538
54, 2, 1, 2, 0, 0.0659707, 51, 0.962264
55, 0, 0, 0, 0, 0.0626722, 51, 0.944444
56, 0, 1, 2, 0, 0.0595386, 52, 0.945455
57, 1, 2, 2, 0, 0.0565616, 54, 0.964286
58, 2, 1, 2, 0, 0.0537335, 55, 0.964912
59, 1, 2, 2, 0, 0.0510469, 57, 0.982759
60, 0, 0, 0, 0, 0.0484945, 57, 0.966102
61, 0, 1, 0, 0, 0.0460698, 58, 0.966667
62, 0, 1, 2, 0, 0.0437663, 59, 0.967213
63, 0, 0, 0, 0, 0.041578, 59, 0.951613
64, 0, 1, 2, 0, 0.0394991, 60, 0.952381
65, 2, 1, 2, 0, 0.0375241, 61, 0.953125
66, 1, 2, 2, 0, 0.0356479, 63, 0.969231
67, 1, 2, 2, 0, 0.0338655, 65, 0.984848
68, 1, 2, 2, 0, 0.0321723, 67, 1
69, 0, 0, 0, 0, 0.0305636, 67, 0.985294
70, 0, 1, 2, 0, 0.0290355, 68, 0.985507
71, 2, 1, 2, 0, 0.0275837, 69, 0.985714
72, 0, 0, 0, 0, 0.0262045, 69, 0.971831
73, 0, 1, 2, 0, 0.0248943, 70, 0.972222
74, 0, 0, 0, 0, 0.0236496, 70, 0.958904
75, 0, 1, 2, 0, 0.0224671, 71, 0.959459
76, 0, 0, 0, 0, 0.0213437, 71, 0.946667
77, 0, 1, 2, 0, 0.0202765, 72, 0.947368
78, 2, 1, 2, 0, 0.0192627, 73, 0.948052
79, 1, 2, 2, 0, 0.0182996, 75, 0.961538
80, 1, 2, 2, 0, 0.0173846, 77, 0.974684
81, 1, 2, 1, 0, 0.0165154, 79, 0.9875
82, 1, 1, 2, 0, 0.0156896, 80, 0.987654
83, 1, 2, 2, 0, 0.0149051, 82, 1
84, 1, 2, 2, 0, 0.0141599, 84, 1.01205
85, 1, 2, 1, 0, 0.0134519, 86, 1.02381
86, 1, 1, 2, 0, 0.0127793, 87, 1.02353
