cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 2, 1, 1, 0, 0.9025, 1, 0.5
4, 1, 1, 0, 1, 0.857375, 2, 0.666667
5, 2, 2, 2, 1, 0.814506, 4, 1
6, 0, 0, 0, 1, 0.773781, 4, 0.8
7, 0, 1, 1, 1, 0.735092, 5, 0.833333
8, 2, 0, 2, 1, 0.698337, 5, 0.714286
9, 1, 2, 1, 1, 0.66342, 7, 0.875
10, 2, 0, 2, 1, 0.630249, 7, 0.777778
11, 1, 2, 1, 1, 0.598737, 9, 0.9
12, 1, 1, 0, 1, 0.5688, 10, 0.909091
13, 0, 1, 0, 1, 0.54036, 11, 0.916667
14, 0, 1, 2, 0, 0.513342, 12, 0.923077
15, 1, 2, 2, 1, 0.487675, 14, 1
16, 1, 2, 1, 0, 0.463291, 16, 1.06667
17, 1, 1, 1, 0, 0.440127, 17, 1.0625
18, 0, 2, 1, 0, 0.41812, 19, 1.11765
19, 1, 1, 0, 1, 0.397214, 20, 1.11111
20, 0, 1, 2, 0, 0.377354, 21, 1.10526
21, 2, 1, 2, 0, 0.358486, 22, 1.1
22, 1, 2, 2, 0, 0.340562, 24, 1.14286
23, 2, 1, 0, 1, 0.323534, 25, 1.13636
24, 0, 1, 2, 0, 0.307357, 26, 1.13043
25, 2, 1, 2, 0, 0.291989, 27, 1.125
26, 2, 1, 1, 1, 0.27739, 28, 1.12
27, 0, 2, 2, 0, 0.26352, 30, 1.15385
28, 0, 0, 2, 0, 0.250344, 30, 1.11111
29, 0, 0, 2, 0, 0.237827, 30, 1.07143
30, 0, 0, 1, 1, 0.225936, 30, 1.03448
31, 0, 2, 0, 1, 0.214639, 32, 1.06667
32, 0, 1, 2, 1, 0.203907, 33, 1.06452
33, 0, 0, 1, 0, 0.193711, 33, 1.03125
34, 0, 2, 0, 0, 0.184026, 35, 1.06061
35, 2, 2, 0, 0, 0.174825, 37, 1.08824
36, 2, 2, 0, 0, 0.166083, 39, 1.11429
37, 0, 1, 1, 0, 0.157779, 40, 1.11111
38, 1, 1, 1, 0, 0.14989, 41, 1.10811
39, 2, 0, 1, 0, 0.142396, 41, 1.07895
40, 0, 2, 0, 0, 0.135276, 43, 1.10256
41, 1, 0, 1, 0, 0.128512, 43, 1.075
42, 1, 1, 2, 0, 0.122087, 44, 1.07317
43, 2, 1, 1, 0, 0.115982, 45, 1.07143
44, 0, 2, 0, 0, 0.110183, 47, 1.09302
45, 1, 0, 1, 0, 0.104674, 47, 1.06818
46, 2, 0, 0, 0, 0.0994403, 47, 1.04444
47, 2, 2, 0, 0, 0.0944682, 49, 1.06522
48, 0, 1, 0, 0, 0.0897448, 50, 1.06383
49, 2, 2, 0, 0, 0.0852576, 52, 1.08333
50, 0, 1, 1, 0, 0.0809947, 53, 1.08163
51, 0, 2, 0, 0, 0.076945, 55, 1.1
52, 1, 0, 1, 0, 0.0730977, 55, 1.07843
53, 0, 2, 0, 0, 0.0694428, 57, 1.09615
54, 0, 1, 1, 0, 0.0659707, 58, 1.09434
55, 2, 0, 1, 0, 0.0626722, 58, 1.07407
56, 1, 1, 2, 0, 0.0595386, 59, 1.07273
57, 1, 2, 0, 0, 0.0565616, 61, 1.08929
58, 1, 0, 1, 0, 0.0537335, 61, 1.07018
59, 1, 1, 1, 1, 0.0510469, 62, 1.06897
60, 1, 1, 2, 0, 0.0484945, 63, 1.0678
61, 2, 1, 2, 0, 0.0460698, 64, 1.06667
62, 2, 1, 2, 0, 0.0437663, 65, 1.06557
63, 1, 2, 2, 0, 0.041578, 67, 1.08065
64, 2, 1, 2, 0, 0.0394991, 68, 1.07937
65, 0, 0, 1, 0, 0.0375241, 68, 1.0625
66, 0, 2, 0, 0, 0.0356479, 70, 1.07692
67, 2, 2, 0, 0, 0.0338655, 72, 1.09091
68, 2, 2, 0, 0, 0.0321723, 74, 1.10448
69, 2, 2, 0, 0, 0.0305636, 76, 1.11765
70, 2, 2, 0, 0, 0.0290355, 78, 1.13043
71, 1, 0, 1, 0, 0.0275837, 78, 1.11429
72, 0, 2, 0, 0, 0.0262045, 80, 1.12676
73, 0, 1, 1, 0, 0.0248943, 81, 1.125
74, 1, 1, 2, 0, 0.0236496, 82, 1.12329
75, 1, 2, 2, 0, 0.0224671, 84, 1.13514
76, 1, 2, 2, 0, 0.0213437, 86, 1.14667
77, 1, 2, 2, 0, 0.0202765, 88, 1.15789
78, 1, 2, 2, 0, 0.0192627, 90, 1.16883
79, 1, 2, 2, 1, 0.0182996, 92, 1.17949
80, 0, 0, 1, 0, 0.0173846, 92, 1.16456
81, 0, 2, 0, 0, 0.0165154, 94, 1.175
82, 0, 1, 1, 0, 0.0156896, 95, 1.17284
83, 0, 2, 0, 0, 0.0149051, 97, 1.18293
84, 2, 2, 0, 0, 0.0141599, 99, 1.19277
85, 1, 0, 1, 0, 0.0134519, 99, 1.17857
86, 1, 1, 2, 0, 0.0127793, 100, 1.17647
