cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 1, 2, 2, 1, 0.9025, 2, 1
4, 1, 2, 2, 0, 0.857375, 4, 1.33333
5, 1, 2, 1, 1, 0.814506, 6, 1.5
6, 1, 1, 1, 0, 0.773781, 7, 1.4
7, 0, 2, 1, 1, 0.735092, 9, 1.5
8, 0, 2, 1, 1, 0.698337, 11, 1.57143
9, 1, 1, 1, 1, 0.66342, 12, 1.5
10, 2, 0, 1, 0, 0.630249, 12, 1.33333
11, 0, 2, 2, 1, 0.598737, 14, 1.4
12, 1, 2, 1, 0, 0.5688, 16, 1.45455
13, 1, 1, 2, 1, 0.54036, 17, 1.41667
14, 0, 0, 1, 0, 0.513342, 17, 1.30769
15, 0, 2, 0, 0, 0.487675, 19, 1.35714
16, 0, 1, 1, 0, 0.463291, 20, 1.33333
17, 0, 2, 1, 0, 0.440127, 22, 1.375
18, 0, 2, 1, 0, 0.41812, 24, 1.41176
19, 2, 0, 1, 0, 0.397214, 24, 1.33333
20, 0, 2, 0, 0, 0.377354, 26, 1.36842
21, 1, 0, 1, 0, 0.358486, 26, 1.3
22, 2, 0, 1, 0, 0.340562, 26, 1.2381
23, 2, 0, 0, 0, 0.323534, 26, 1.18182
24, 0, 1, 2, 1, 0.307357, 27, 1.17391
25, 2, 1, 1, 0, 0.291989, 28, 1.16667
26, 0, 2, 0, 0, 0.27739, 30, 1.2
27, 0, 1, 1, 0, 0.26352, 31, 1.19231
28, 0, 2, 1, 0, 0.250344, 33, 1.22222
29, 2, 0, 1, 1, 0.237827, 33, 1.17857
30, 2, 0, 0, 0, 0.225936, 33, 1.13793
31, 1, 0, 1, 0, 0.214639, 33, 1.1
32, 0, 2, 0, 0, 0.203907, 35, 1.12903
33, 1, 0, 1, 0, 0.193711, 35, 1.09375
34, 2, 0, 1, 0, 0.184026, 35, 1.06061
35, 2, 0, 0, 0, 0.174825, 35, 1.02941
36, 1, 0, 1, 0, 0.166083, 35, 1
37, 0, 2, 0, 0, 0.157779, 37, 1.02778
38, 2, 2, 0, 0, 0.14989, 39, 1.05405
39, 2, 2, 0, 0, 0.142396, 41, 1.07895
40, 0, 1, 1, 0, 0.135276, 42, 1.07692
41, 1, 1, 1, 0, 0.128512, 43, 1.075
42, 1, 1, 1, 0, 0.122087, 44, 1.07317
43, 1, 1, 0, 1, 0.115982, 45, 1.07143
44, 0, 1, 1, 0, 0.110183, 46, 1.06977
45, 0, 2, 0, 0, 0.104674, 48, 1.09091
46, 2, 2, 1, 0, 0.0994403, 50, 1.11111
47, 2, 0, 1, 0, 0.0944682, 50, 1.08696
48, 2, 0, 1, 0, 0.0897448, 50, 1.06383
49, 1, 1, 1, 1, 0.0852576, 51, 1.0625
50, 0, 2, 1, 0, 0.0809947, 53, 1.08163
51, 0, 2, 1, 0, 0.076945, 55, 1.1
52, 2, 0, 0, 0, 0.0730977, 55, 1.07843
53, 0, 1, 1, 0, 0.0694428, 56, 1.07692
54, 0, 2, 0, 0, 0.0659707, 58, 1.09434
55, 2, 2, 0, 0, 0.0626722, 60, 1.11111
56, 2, 2, 0, 0, 0.0595386, 62, 1.12727
57, 1, 0, 1, 0, 0.0565616, 62, 1.10714
58, 0, 2, 0, 0, 0.0537335, 64, 1.12281
59, 2, 2, 0, 0, 0.0510469, 66, 1.13793
60, 0, 1, 2, 0, 0.0484945, 67, 1.13559
61, 2, 1, 1, 0, 0.0460698, 68, 1.13333
62, 1, 1, 1, 0, 0.0437663, 69, 1.13115
63, 0, 2, 1, 0, 0.041578, 71, 1.14516
64, 2, 0, 1, 0, 0.0394991, 71, 1.12698
65, 0, 2, 0, 0, 0.0375241, 73, 1.14062
66, 0, 1, 1, 0, 0.0356479, 74, 1.13846
67, 0, 2, 0, 0, 0.0338655, 76, 1.15152
68, 1, 0, 1, 0, 0.0321723, 76, 1.13433
69, 0, 2, 1, 0, 0.0305636, 78, 1.14706
70, 0, 2, 1, 0, 0.0290355, 80, 1.15942
71, 0, 2, 0, 0, 0.0275837, 82, 1.17143
72, 1, 0, 1, 0, 0.0262045, 82, 1.15493
73, 0, 2, 1, 0, 0.0248943, 84, 1.16667
74, 2, 0, 1, 0, 0.0236496, 84, 1.15068
75, 0, 2, 0, 0, 0.0224671, 86, 1.16216
76, 1, 0, 1, 0, 0.0213437, 86, 1.14667
77, 2, 0, 1, 0, 0.0202765, 86, 1.13158
78, 0, 2, 1, 0, 0.0192627, 88, 1.14286
79, 1, 1, 2, 0, 0.0182996, 89, 1.14103
80, 1, 2, 0, 0, 0.0173846, 91, 1.1519
81, 0, 1, 2, 0, 0.0165154, 92, 1.15
82, 0, 0, 1, 0, 0.0156896, 92, 1.1358
83, 0, 2, 0, 0, 0.0149051, 94, 1.14634
84, 2, 2, 0, 0, 0.0141599, 96, 1.15663
85, 1, 0, 1, 0, 0.0134519, 96, 1.14286
86, 0, 2, 0, 0, 0.0127793, 98, 1.15294
