cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 2, 1, 1, 0, 0.9025, 1, 0.5
4, 1, 1, 0, 1, 0.857375, 2, 0.666667
5, 2, 2, 2, 1, 0.814506, 4, 1
6, 0, 0, 0, 1, 0.773781, 4, 0.8
7, 0, 1, 1, 1, 0.735092, 5, 0.833333
8, 2, 0, 2, 1, 0.698337, 5, 0.714286
9, 1, 2, 1, 1, 0.66342, 7, 0.875
10, 2, 0, 2, 1, 0.630249, 7, 0.777778
11, 1, 2, 1, 1, 0.598737, 9, 0.9
12, 1, 1, 0, 1, 0.5688, 10, 0.909091
13, 0, 1, 0, 1, 0.54036, 11, 0.916667
14, 0, 1, 2, 0, 0.513342, 12, 0.923077
15, 2, 1, 2, 0, 0.487675, 13, 0.928571
16, 1, 2, 1, 0, 0.463291, 15, 1
17, 0, 2, 2, 0, 0.440127, 17, 1.0625
18, 1, 2, 0, 1, 0.41812, 19, 1.11765
19, 0, 1, 1, 0, 0.397214, 20, 1.11111
20, 2, 0, 2, 1, 0.377354, 20, 1.05263
21, 2, 1, 1, 0, 0.358486, 21, 1.05
22, 1, 1, 0, 1, 0.340562, 22, 1.04762
23, 2, 2, 1, 1, 0.323534, 24, 1.09091
24, 2, 0, 0, 0, 0.307357, 24, 1.04348
25, 0, 1, 0, 0, 0.291989, 25, 1.04167
26, 2, 2, 2, 0, 0.27739, 27, 1.08
27, 1, 2, 2, 0, 0.26352, 29, 1.11538
28, 1, 2, 0, 0, 0.250344, 31, 1.14815
29, 0, 1, 2, 1, 0.237827, 32, 1.14286
30, 0, 0, 0, 1, 0.225936, 32, 1.10345
31, 0, 1, 2, 0, 0.214639, 33, 1.1
32, 0, 0, 1, 1, 0.203907, 33, 1.06452
33, 0, 2, 0, 1, 0.193711, 35, 1.09375
34, 0, 1, 2, 1, 0.184026, 36, 1.09091
35, 0, 0, 1, 0, 0.174825, 36, 1.05882
36, 0, 2, 2, 0, 0.166083, 38, 1.08571
37, 0, 0, 1, 0, 0.157779, 38, 1.05556
38, 0, 2, 0, 0, 0.14989, 40, 1.08108
39, 0, 1, 1, 0, 0.142396, 41, 1.07895
40, 2, 0, 2, 1, 0.135276, 41, 1.05128
41, 0, 0, 1, 0, 0.128512, 41, 1.025
42, 0, 2, 2, 0, 0.122087, 43, 1.04878
43, 1, 2, 2, 0, 0.115982, 45, 1.07143
44, 1, 2, 2, 0, 0.110183, 47, 1.09302
45, 2, 1, 1, 0, 0.104674, 48, 1.09091
46, 2, 0, 1, 0, 0.0994403, 48, 1.06667
47, 1, 1, 1, 0, 0.0944682, 49, 1.06522
48, 1, 1, 1, 0, 0.0897448, 50, 1.06383
49, 0, 2, 2, 0, 0.0852576, 52, 1.08333
50, 1, 2, 2, 0, 0.0809947, 54, 1.10204
51, 1, 2, 2, 0, 0.076945, 56, 1.12
52, 1, 2, 2, 0, 0.0730977, 58, 1.13725
53, 0, 0, 1, 0, 0.0694428, 58, 1.11538
54, 0, 2, 2, 0, 0.0659707, 60, 1.13208
55, 1, 2, 2, 0, 0.0626722, 62, 1.14815
56, 2, 1, 0, 0, 0.0595386, 63, 1.14545
57, 1, 0, 1, 0, 0.0565616, 63, 1.125
58, 1, 1, 1, 0, 0.0537335, 64, 1.12281
59, 0, 2, 2, 0, 0.0510469, 66, 1.13793
60, 1, 2, 2, 0, 0.0484945, 68, 1.15254
61, 0, 0, 1, 0, 0.0460698, 68, 1.13333
62, 0, 2, 2, 0, 0.0437663, 70, 1.14754
63, 1, 2, 2, 0, 0.041578, 72, 1.16129
64, 2, 1, 0, 0, 0.0394991, 73, 1.15873
65, 1, 0, 1, 0, 0.0375241, 73, 1.14062
66, 2, 0, 0, 0, 0.0356479, 73, 1.12308
67, 0, 1, 0, 0, 0.0338655, 74, 1.12121
68, 2, 2, 0, 0, 0.0321723, 76, 1.13433
69, 1, 0, 1, 0, 0.0305636, 76, 1.11765
70, 2, 0, 1, 0, 0.0290355, 76, 1.10145
71, 1, 1, 2, 1, 0.0275837, 77, 1.1
72, 1, 2, 2, 0, 0.0262045, 79, 1.11268
73, 2, 1, 0, 0, 0.0248943, 80, 1.11111
74, 1, 0, 1, 0, 0.0236496, 80, 1.09589
75, 1, 1, 2, 0, 0.0224671, 81, 1.09459
76, 1, 2, 2, 0, 0.0213437, 83, 1.10667
77, 2, 1, 1, 0, 0.0202765, 84, 1.10526
78, 0, 2, 2, 0, 0.0192627, 86, 1.11688
79, 2, 1, 0, 0, 0.0182996, 87, 1.11538
80, 0, 1, 1, 0, 0.0173846, 88, 1.11392
81, 2, 0, 0, 0, 0.0165154, 88, 1.1
82, 2, 2, 0, 0, 0.0156896, 90, 1.11111
83, 0, 1, 0, 0, 0.0149051, 91, 1.10976
84, 1, 0, 1, 0, 0.0141599, 91, 1.09639
85, 0, 2, 2, 0, 0.0134519, 93, 1.10714
86, 1, 2, 2, 0, 0.0127793, 95, 1.11765
